Name of institution,State,Country, Number of trainees ,Profit status,Type of payment,Tuition and Fees Cost, Number of payments 
Premier Barber Institute,Pennsylvania,,3,Private non-profit,School Tuition & Fees,"$40,770.00 ",3
Lakewood College,Ohio,,37,Private non-profit,School Tuition & Fees,"$198,184.81 ",49
