UNITID,OPEID,OPEID6,INSTNM,CITY,STABBR,INSTURL,NPCURL,HCM2,PREDDEG,CONTROL,LOCALE,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,MENONLY,WOMENONLY,RELAFFIL,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,SAT_AVG_ALL,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,CURROPER,NPT4_PUB,NPT4_PRIV,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,PCTPELL,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25ABV,MD_EARN_WNE_P10,GT_25K_P6,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_L4_POOLED_SUPP,C150_4_POOLED_SUPP
100654,100200,1002,Alabama A & M University,Normal,AL,www.aamu.edu/,galileo.aamu.edu/netpricecalculator/npcalc.htm,0,3,1,12,1,0,0,0,0,0,0,0,0,-2,377,470,370,470,370,470,424,420,420,15,19,14,19,15,18,NULL,NULL,17,17,17,NULL,827,827,0.0424,0.0191,0.0169,0,0,0.0487,0.0275,0,0.1123,0.1081,0.0339,0,0.0254,0,0.0127,0.0424,0,0.0975,0.0169,0,0,0,0,0,0.0127,0,0.0487,0.0085,0.0572,0.0424,0,0,0,0,0.0297,0,0.197,0,0,4206,0.0333,0.9353,0.0055,0.0019,0.0024,0.0019,0,0.0059,0.0138,0.0656,1,15229,NULL,14601,14882,17479,18397,19727,NULL,NULL,NULL,NULL,NULL,0.7356,0.6595,NULL,0.3333,NULL,0.8284,0.1049,30300,0.426,33888,347.7895079,0.436968291,NULL,0.324519626
,105200,1052,University of Alabama at Birmingham,Birmingham,AL,www.uab.edu,www.collegeportraits.org/AL/UAB/estimator/agree,0,3,1,12,0,0,0,0,0,0,0,0,0,-2,500,640,490,640,NULL,NULL,570,565,NULL,21,27,21,29,19,26,NULL,NULL,24,25,23,NULL,1107,1107,0,0,0,0.0024,0.0485,0,0.015,0,0.0882,0.0577,0,0.0111,0,0,0.0223,0.0179,0,0.0746,0.0102,0,0,0,0.0053,0,0.0204,0,0.078,0.032,0.0228,0.0524,0,0,0,0,0.0305,0.2084,0.1837,0.0184,0,11383,0.5922,0.26,0.0283,0.0518,0.0022,0.0007,0.0368,0.0179,0.01,0.2607,1,14789,NULL,12453,13703,16137,17274,16912,NULL,NULL,NULL,NULL,NULL,0.346,0.8288,NULL,0.575,NULL,0.5214,0.2422,39700,0.665,21941.5,225.1836487,0.785810507,NULL,0.546104802
