UNITID,INSTNM,school_system_code,school_system_name,settlement_date,settlement_link
134811,AI Miami International University of Art and Design,301790,Education Management Corporation,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and
427025,Computer Systems Institute,,,2/18/16,
