va_facility_name,school_level_va,retention_rate_veteran_ba,retention_rate_veteran_otb,persistance_rate_veteran_ba,persistance_rate_veteran_otb,graduation_rate_veteran,transfer_out_rate_veteran
UNIVERSITY OF PHOENIX-ONLINE CAMPUS,4-year,0.755,0.767,0.865,0.85,,
AMERICAN PUBLIC UNIVERSITY SYSTEM,4-year,0.791,0.721,0.875,0.843,,
