case id,level,status,case owner,school,opeid,facility code,school city,school state,submitted,closed,closed reason,issues,education benefits
,No Escalation Needed,closed,Tameika Tiller,SPECTRUM BEAUTY ACADEMY LLC,,25043046,ALEXANDRIA,VA,,,no response,,Post-9/11 Ch 33
VA12061,Level 3,closed,James Lyles,SOKA UNIVERSITY OF AMERICA,"""03814400""",31010505,ALISO VIEJO,CA,,,no response,,DEA Ch 35
VA11842,Level 3,closed,James Lyles,GRAND VALLEY STATE UNIVERSITY,"""00226800""",11001222,ALLENDALE,MI,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,NORTHWESTERN OKLAHOMA STATE UNIVERSITY,,11001936,ALVA,OK,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,INTERCOAST COLLEGES-ANAHEIM,,24006605,ANAHEIM,CA,,,no response,,Post-9/11 Ch 33;TATU;REAP
VA17180,Level 3,closed,James Lyles,SOUTHERN CALIFORNIA INSTITUTE OF TECHNOLOGY,"""03113600""",21960105,ANAHEIM,CA,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,UNITED EDUCATION INSTITUTE-ANAHEIM,,25173005,ANAHEIM,CA,,,no response,,Post-9/11 Ch 33
VA16040,Level 3,closed,James Lyles,WEST COAST UNIVERSITY-AHAHEIM,"""03698301""",21112405,ANAHEIM,CA,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,CHARTER COLLEGE-ANCHORAGE,,21902102,ANCHORAGE,AK,,,resolved,,Post-9/11 Ch 33
VA11705,Level 3,closed,James Lyles,NORTHERN VIRGINIA COMMUNITY COLLEGE-ANNANDALE,"""00372700""",14930246,ANNANDALE,VA,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,NORTHERN VIRGINIA COMMUNITY COLLEGE-ANNANDALE,,14930246,ANNANDALE,VA,,,resolved,,DEA Ch 35
VA12495,Level 3,closed,James Lyles,SHEAR PERFECTION ACADEMY OF COSMETOLOGY,,25030942,Antioch,TN,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,NORTH CENTRAL TEXAS COUNCIL OF GOVTS REG TRNG CTR REG POL ACD,,15034543,ARLINGTON,TX,,,no response,,Post-9/11 Ch 33
VA17251,Level 3,closed,James Lyles,UNIVERSITY OF TEXAS AT ARLINGTON,"""00365600""",11000643,ARLINGTON,TX,,,no response,,Post-9/11 Ch 33
VA12348,Level 3,closed,James Lyles,UNIVERSITY OF TEXAS AT ARLINGTON,"""00365600""",11000643,ARLINGTON,TX,,,resolved,,Post-9/11 Ch 33
VA11802,Level 3,closed,James Lyles,MARYMOUNT UNIVERSITY,"""00372400""",31909246,ARLINGTON,VA,,,no response,,Post-9/11 Ch 33
VA11255,Level 3,closed,James Lyles,CHAMBERLAIN COLLEGE OF NURSING,"""00638506""",21014046,ARLINGTON,VA,,,no response,,Post-9/11 Ch 33
VA12351,Level 3,closed,James Lyles,UNIVERSITY OF MANAGEMENT AND TECHNOLOGY,"""04110300""",21013246,ARLINGTON,VA,,,no response,,
,No Escalation Needed,closed,James Lyles,DEVRY UNIVERSITY - ARLINGTON,,21012046,ARLINGTON,VA,,,resolved,,Post-9/11 Ch 33
VA12585,Level 3,closed,James Lyles,RANDOLPH COMMUNITY COLLEGE,"""00544700""",14920433,ASHEBORO,NC,,,no response,,Post-9/11 Ch 33
VA11012,Level 3,closed,James Lyles,UNIVERSITY OF NORTH CAROLINA AT ASHEVILLE,"""00290700""",11005833,ASHEVILLE,NC,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,NEUMANN UNIVERSITY,,31013638,ASTON,PA,,,no response,,Post-9/11 Ch 33;MGIB-AD Ch 30;MGIB-SR Ch 1606
VA12449,Level 3,closed,James Lyles,WESTWOOD COLLEGE-ATLANTA MIDTOWN,"""03079202""",21811011,Atlanta,GA,,,no response,,Post-9/11 Ch 33
VA20271,Level 3,closed,James Lyles,SAVANNAH COLLEGE OF ART AND DESIGN-ATLANTA,"""02141500""",31010311,Atlanta,GA,,,no response,,Post-9/11 Ch 33
VA11763,Level 3,closed,James Lyles,CLARK ATLANTA UNIVERSITY,"""00155900""",31002311,Atlanta,GA,,,resolved,,Post-9/11 Ch 33
VA14912,Level 3,closed,James Lyles,ELAINE STERLING INSTITUTE,"""04204500""",25032411,Atlanta,GA,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,AVEDA INSTITUTE ATLANTA,,25020811,ATLANTA,GA,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,INTERNATIONAL SCHOOL OF SKIN AND NAIL CARE,,25013811,ATLANTA,GA,,,no response,,Post-9/11 Ch 33
VA20260,Level 3,closed,James Lyles,AMERICAN INTERCONTINENTAL UNIVERSITY-ATLANTA,"""02113613""",21801111,Atlanta,GA,,,no response,,MGIB-AD Ch 30
VA16109,Level 3,closed,James Lyles,CHAMBERLAIN COLLEGE OF NURSING-GEORGIA,"""00638500""",21005311,Atlanta,GA,,,no response,,Post-9/11 Ch 33
VA22465,Level 3,closed,James Lyles,ARGOSY UNIVERSITY-ATLANTA,"""02179902""",21005011,Atlanta,GA,,,no response,,
VA12845,Level 3,closed,James Lyles,ARGOSY UNIVERSITY-ATLANTA,"""02179902""",21005011,Atlanta,GA,,,resolved,,"Post-9/11 Ch 33, MGIB-AD Ch 30"
VA11910,Level 3,closed,James Lyles,ATLANTA METROPOLITAN STATE COLLEGE,"""01216500""",14981411,Atlanta,GA,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,GEORGIA STATE UNIVERSITY,,11909111,ATLANTA,GA,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,GEORGIA STATE UNIVERSITY,,11909111,ATLANTA,GA,,,no response,,Post-9/11 Ch 33
VA11963,Level 3,closed,James Lyles,GEORGIA STATE UNIVERSITY,"""00157400""",11909111,Atlanta,GA,,,no response,,Post-9/11 Ch 33
VA11850,Level 3,closed,James Lyles,GEORGIA STATE UNIVERSITY,"""00157400""",11909111,Atlanta,GA,,,no response,,"Post-9/11 Ch 33, DEA Ch 35"
VA11874,Level 3,closed,James Lyles,NTI ORGANIC LAWN CARE INSTITUTE,,25043129,Auburn,NH,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,"AUBURN UNIVERSITY, AVIATION CENTER, PROFESSIONAL FLIGHT",,15077501,AUBURN,AL,,,resolved,,Post-9/11 Ch 33
VA22463,Level 3,closed,James Lyles,MILLER-MOTTE TECHNICAL COLLEGE-AUGUSTA,"""02614200""",24956811,Augusta,GA,,,no response,,Post-9/11 Ch 33
VA17193,Level 3,closed,James Lyles,STRAYER UNIVERSITY-AUGUSTA,"""00145939""",21904611,Augusta,GA,,,no response,,Post-9/11 Ch 33
VA14983,Level 3,closed,James Lyles,STRAYER UNIVERSITY-AUGUSTA,"""00145939""",21904611,Augusta,GA,,,no response,,VRE Ch 31
VA14948,Level 3,closed,James Lyles,STRAYER UNIVERSITY-AUGUSTA,"""00145939""",21904611,Augusta,GA,,,no response,,VRE Ch 31
VA12781,Level 3,closed,James Lyles,GEORGIA REGENTS UNIVERSITY,"""00157900""",11907111,Augusta,GA,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,COLORADO TECHNICAL UNIVERSITY-AURORA,,21809206,AURORA,CO,,,no response,,Post-9/11 Ch 33
VA12665,Level 3,closed,James Lyles,XENON INTERNATIONAL ACADEMY,"""03027400""",25021706,AURORA,CO,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,CONCORDE CAREER COLLEGE-AURORA,,24942406,AURORA,CO,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,COMMUNITY COLLEGE OF AURORA,,14934406,AURORA,CO,,,no response,,Post-9/11 Ch 33
VA12528,Level 3,closed,James Lyles,COMMUNITY COLLEGE OF AURORA,"""02276900""",14934406,Aurora,CO,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,COMMUNITY COLLEGE OF AURORA,,14934406,AURORA,CO,,,no response,,Post-9/11 Ch 33
