"facility_code","institution","longitude","latitude","ungeocodable"
"10000549","CITY OF EVANSVILLE WATER & LIGHT",-89.3061461,42.7687192,False
"10000609","DEPT OF STATE BUREAU OF CONSULAR AFFAIRS  PASSPORT SERVICES",-77.0439934,38.8974928,False
"10000612","RIGBY POLICE DEPARTMENT",-111.912615280389,43.67262915,False
"10200116","BASEHOR POLICE DEPARTMENT",-94.919947,39.128655,False
"10000614","WHITESTOWN POLICE DEPARTMENT",-86.0169991,41.7026605,False
"10000615","RAILROAD RETIREMENT BOARD",-93.620182055123,41.58640855,False
"10000616","SOCIAL SECURITY ADMINISTRATION",-95.306430373616,38.95852195,False
"10000621","DEPARTMENT OF THE AIR FORCE CIVILIAN POLICE",-71.1864504291149,42.3281099413982,False
"10000626","USDA FOREST SERVICE",-114.091619147707,46.92591435,False
"10000637","COLUMBIA RIVER PUD",-122.837475401315,45.92463005,False
"10000649","FOREST SERVICE-EASTERN REGIONAL OFFICE",-87.9031957692238,43.03920265,False
"10000714","FERDINAND POLICE DEPARTMENT",-86.8632350930689,38.2247095744474,False
"10000715","ADAMS COUNTY SHERIFF'S OFFICE",-94.73449,40.991045,False
"10000716","SALINA POLICE DEPARTMENT",-97.6139808,38.8445625,False
"10000721","SOCIAL SECURITY ADMINISTRATION- QUINCY",-71.0013957,42.2475082,False
"10000726","SPOTTED BULL RECOVERY RESOURCE CENTER",-105.195792558333,48.113788025,False
"10000749","MILWAUKEE VA MEDICAL CENTER",-87.9762224,43.0242008,False
"10000814","CLOVERDALE POLICE DEPARTMENT",-86.794368,39.5099945918367,False
"10000816","HAYSVILLE POLICE DEPARTMENT",-97.353691,37.56443,False
"10000821","SOCIAL SECURITY ADMINISTRATION- NORWOOD",-71.200466,42.160989,False
"10000826","MONTANA DEPARTMENT OF LABOR AND INDUSTRY",-111.9956884,46.5913009,False
"10000849","SOCIAL SECURITY ADMINISTRATION-GREEN BAY",-88.0563428571429,44.5318321632653,False
"10000914","NEW CHICAGO POLICE DEPARTMENT",-87.2762110063838,41.5583352512356,False
"10000916","KANSAS CITY KANSAS POLICE DEPARTMENT",-94.6269821,39.115511,False
"10000921","UMASS WORCESTER POLICE DEPARTMENT",-71.7590273,42.2733888,False
"10000926","DEER LODGE POLICE DEPARTMENT",-112.9541417,46.1229117,False
"10000941","UNIFIED JUDICIAL SYSTEM",-103.221885,44.079065,False
"10000949","NATIONAL WEATHER SERVICE-SULLIVAN",-88.5881562,43.0127852,False
"10001008","DEWEY BEACH POLICE DEPARTMENT",-75.0752704,38.69118235,False
"10001014","KENDALLVILLE POLICE DEPARTMENT",-85.2654288950041,41.4421153560352,False
"10001021","YARMOUTH POLICE DEPARTMENT",-70.2448696845196,41.6687706,False
"10001032","TOWN OF RAMAPO POLICE DEPARTMENT",-73.9947046325475,41.1471276,False
"10001041","SOUTH DAKOTA DEPARTMENT OF TRANSPORTATION-BELLE FOURCHE",-103.851407,44.670905,False
"10001049","DANE COUNTY SHERIFFS OFFICE",-89.383854,43.0717384,False
"10001138","PA DEPARTMENT OF ENVIRONMENTAL PROTECTION BUREAU OF RADIATION PROTECTION",-76.8861122,40.2663107,False
"10001141","PENNINGTON COUNTY BUILDINGS AND GROUNDS",-103.222391481477,44.07837285,False
"10001149","COLUMBUS WATER AND LIGHT",-89.034527987185,43.3420168253436,False
"10001208","REHOBOTH BEACH POLICE DEPARTMENT",-75.083278,38.716092,False
"10001241","SOUTH DAKOTA DEPARTMENT OF CORRECTIONS-PIERRE",-100.351136,44.3683644,False
"10001321","THE TOWN OF HANSON POLICE DEPARTMENT",-70.8699600534524,42.0398225,False
"10001341","SOUTH DAKOTA STATE VETERANS HOME",-103.493015,43.437969,False
"10001441","SOUTH DAKOTA DEPARTMENT OF CORRECTIONS-SIOUX FALLS",-96.7236987755102,43.5432753673469,False
"10001541","CORSON COUNTY SHERIFFS OFFICE",-101.347795002952,45.9216853878045,False
"10001641","WALWORTH COUNTY JAIL",-100.033781586835,45.5065781610259,False
"10001741","SOUTH DAKOTA DEPARTMENT OF GAME FISH AND PARKS-CUSTER",-103.598806,43.766651,False
"10001801","UNIVERSITY OF ALABAMA AT BIRMINGHAM-RADIOLOGY",-86.7966336,33.4983422,False
"10001841","WHITEWOOD POLICE DEPARTMENT",-103.638836067842,44.4607921434823,False
"10001921","DEPARTMENT OF HOMELAND SECURITY-US ICE OFFICE OF INVESTIGATIONS",-71.0631178017782,42.36519975,False
"10001941","CORSON COUNTY HIGHWAY DEPARTMENT",-100.810411,45.814443,False
"10002041","SD ARMY NATIONAL GUARD- USPFO WAREHOUSE",-103.266657409242,44.08133395,False
"10002123","OLMSTED COUNTY SHERIFF",-92.4614044444444,44.019208,False
"10002223","WRIGHT COUNTY - CVSO",-93.877151837896,45.1740023232421,False
"10002434","DEPARTMENT OF HOMELAND SECURITY-USCIS FARGO",-96.9479524,46.8799391,False
"10002649","DODGE COUNTY SHERIFF'S OFFICE",-88.7045321851348,43.40717035,False
"10012337","CLACKAMAS FIRE DISTRICT 1",-122.581898049897,45.44063105,False
"10012437","SHERMAN COUNTY SHERIFF",-120.730451,45.487314,False
"10012520","CITY OF BOWIE POLICE DEPARTMENT",-76.7301718,38.9424464,False
"10012537","OREGON CITY POLICE DEPARTMENT",-122.605872924421,45.33811265,False
"10012637","PORTLAND FIRE AND RESCUE TRAINING DIVISION-PORTLAND OR",-122.670613648469,45.5221932,False
"10012737","SWEET HOME POLICE DEPARTMENT",-122.72101121646,44.3993009557473,False
"10012837","FAA EUGENE SYSTEM SUPPORT CENTER",-123.1258149,44.0216524,False
"10012937","LINCOLN COUNTY SHERIFF",-124.054768266061,44.6364545719136,False
"10013037","OREGON RACING COMMISSION",-122.657528324071,45.52835695,False
"10013112","BOISE FIRE DEPARTMENT",-116.301535,43.6081409,False
"10013137","CITY OF ASTORIA POLICE DEPARTMENT",-123.0656246,44.6141251,False
"10003412","MOSCOW POLICE DEPARTMENT",-117.001329,46.7181802,False
"10008715","WEBSTER CITY COMMUNITY SCHOOL DISTRICT",-93.8213708163265,42.4683345306122,False
"10009014","SSA- VINCENNES",-87.5098921427154,38.66495395,False
"10017242","NASHVILLE ELECTRIC SERVICE",-86.7899289630466,36.1588441649391,False
"10017342","CHICKASAW ELECTRIC COOPERATIVE",-89.3500714,35.2436969,False
"10017442","CITY OF ALCOA",-83.989662852549,35.7825021279845,False
"10017642","TIPTON COUNTY VETERANS SERVICE OFFICE",-90.0529223,35.1033001,False
"10017742","JAMES H QUILLEN VA MEDICAL CENTER OJT",-120.7737772,48.9121343,False
"10009715","WEST DELAWARE COUNTY COMMUNITY SCHOOL DISTRICT",-91.453719,42.489248,False
"10009816","ROBERT J DOLE VA MEDICAL CENTER",-97.2740427837512,37.681102,False
"10011349","WISCONSIN DEPARTMENT OF NATURAL RESOURCES BUREAU OF LAW ENFORCEMENT",-89.3837613,43.074761,False
"10011550","GILLETTE POLICE DEPARTMENT",-105.501401,44.2908213,False
"10011847","GRANT COUNTY PUD 2",-119.553649,47.3176385,False
"10013237","BAKER COUNTY SHERIFFS OFFICE",-117.848637389383,44.7917568367597,False
"10013263","US IMMIGRATION AND CUSTOMS ENFORCEMENT-HOMELAND SECURITY INVESTIGATIONS",-66.0818491727273,18.4552896090909,False
"10013337","CITY OF FLORENCE POLICE DEPARTMENT",-124.113596,43.974719,False
"10013437","US ARMY CORPS OF ENGINEERS CECT-NWP",-122.6724752,45.5202882,False
"10013440","GLOBAL APPRENTICESHIP FOUNDATION INC",-84.4203248236817,33.7848455854872,False
"10013537","JOSEPHINE COUNTY SHERIFF",-123.325971,42.4398644,False
"10013637","CITY OF EUGENE POLICE DEPARTMENT EUGENE OR",-123.08857509653,44.062684,False
"10013737","VA SOUTHERN OREGON REHABILITATION CENTER AND CLINICS-WHITE CITY OR",-122.838711354758,42.4416037,False
"10023449","UNIVERSITY OF WISCONSIN - PARKSIDE APPRENTICESHIP",-87.850405465638,42.6468292,False
"10024019","MAINE DEPARTMENT OF LABOR TRI COUNTY CAREER CENTER",-68.7652752237362,44.8010076,False
"10024119","MAINE DEPARTMENT OF LABOR PRESQUE ISLE CAREER CENTER",-68.0076555745224,46.698870793145,False
"10024219","MAINE DEPARTMENT OF LABOR ROCKLAND CAREER CENTER",-69.1030602,44.117049,False
"10024319","MAINE DEPARTMENT OF LABOR SOUTHERN MIDCOAST CAREER CENTER",-69.90316,43.9108442,False
"10024419","MAINE DEPARTMENT OF LABOR LEWISTON CAREER CENTER",-70.2147764,44.100351,False
"10024619","MAINE DEPARTMENT OF LABOR PORTLAND CAREER CENTER",-70.3147625526007,43.6497239617026,False
"10024719","MAINE DEPARTMENT OF LABOR WILTON CAREER CENTER",-70.228729,44.592912,False
"10024819","MAINE DEPARTMENT OF LABOR CALAIS CAREER CENTER",-67.2781424,45.189032,False
"10024919","MAINE DEPARTMENT OF LABOR MACHIAS CAREER CENTER",-67.4648935,44.7082308,False
