unitid,instnm,school_system_code,school_system_name,settlement_description,settlement_date,settlement_link
479053,CORTIVA INSTITUTE-FEDERAL WAY,,,Upcoming Campus Closure (Details Posted on Institution's Website),04/17/2019,https://www.cortiva.edu/
420103,CORTIVA INSTITUTE-MIAMI,,,Upcoming Campus Closure (Details Posted on Institution's Website),04/17/2019,https://www.cortiva.edu/
128896,CORTIVA INSTITUTE-NEWINGTON,,,Upcoming Campus Closure (Details Posted on Institution's Website),04/17/2019,https://www.cortiva.edu/
436270,CORTIVA INSTITUTE-OREM,,,Upcoming Campus Closure (Details Posted on Institution's Website),04/17/2019,https://www.cortiva.edu/
469142,CORTIVA INSTITUTE-PHOENIX,,,Upcoming Campus Closure (Details Posted on Institution's Website),04/17/2019,https://www.cortiva.edu/
380474,CORTIVA INSTITUTE-SALT LAKE CITY,,,Upcoming Campus Closure (Details Posted on Institution's Website),04/17/2019,https://www.cortiva.edu/
105482,CORTIVA INSTITUTE-SCOTTSDALE,,,Upcoming Campus Closure (Details Posted on Institution's Website),04/17/2019,https://www.cortiva.edu/
419411,CORTIVA INSTITUTE-SEATTLE,,,Upcoming Campus Closure (Details Posted on Institution's Website),04/17/2019,https://www.cortiva.edu/
104504,CORTIVA INSTITUTE-TUCSON,,,Upcoming Campus Closure (Details Posted on Institution's Website),04/17/2019,https://www.cortiva.edu/
469151,CORTIVA INSTITUTE-WESTMINSTER,,,Upcoming Campus Closure (Details Posted on Institution's Website),04/17/2019,https://www.cortiva.edu/
454908,PROFESSIONAL HANDS INSTITUTE,,,Denial of Recertification Application to Participate in the Federal Student Financial Assistance Program,04/12/2019,
11120469,HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,Denial of Recertification Application to Participate in the Federal Student Financial Assistance Program,03/31/2019,
490179,MEDICAL PREP INSTITUTE OF TAMPA BAY,,,Denial of Recertification Application to Participate in the Federal Student Financial Assistance Program,04/18/2019,
