facility no.,school name,total paid,count of adv pay students,count of reg students,total count of students
25301508,ACADEMY OF MASSAGE AND BODYWORK,90,0,6,6
25038906,ACADEMY OF MASSAGE ESSENTIALS,75,0,5,5
28021919,ACADEMY OF MEDICAL PROFESSIONS TRANSCRIPTION ASSOCIATES INC,15,0,1,1
25005407,ACADEMY OF MEDICAL TRAINING LLC,15,0,1,1
25573225,ACADEMY OF PET CAREERS,150,0,10,10
25012920,ACADEMY OF PROFESSIONAL BARBER STYLISTS,150,0,10,10
25800904,ACADEMY OF PROFESSIONAL COSMETOLOGY,75,0,5,5
25132943,ACADEMY OF REAL ESTATE,255,0,17,17
25004504,ACADEMY OF SALON AND SPA,60,0,4,4
25603225,ACADEMY OF SALON PROFESSIONALS,90,0,6,6
25058218,ACADIANA AREA CAREER COLLEGE,15,0,1,1
15002018,ACADIANA LAW ENFORCEMENT TRAINING ACADEMY,60,0,4,4
25005344,ACAYDIA SCHOOL OF AESTHETICS,45,0,3,3
25006711,ACCELERATE ATLANTA LLC,960,0,64,64
25387632,ACCESS INSTITUTE-KEW GARDENS,75,0,5,5
25003307,ACE COSMETOLOGY AND BARBER TRAINING CENTER,45,0,3,3
25008830,ACE HEALTHCARE TRAINING INSTITUTE,15,0,1,1
25388532,ACE INSTITUTE OF TECHNOLOGY-ELMHURST,180,0,12,12
25P01732,ACE INSTITUTE OF TECHNOLOGY-MANHATTAN,630,0,42,42
28036438,ACE PILOT TRAINING,30,0,2,2
25102224,ACE TRAINING CENTER INC,105,0,7,7
25090543,ACOUSTIC EDGE INST OF HOUSTON,180,0,12,12
21040443,ACT CENTRAL TX,30,0,2,2
21040343,ACT HOUSTON AT AUSTIN,105,0,7,7
21037943,ACT HOUSTON AT DALLAS,270,0,18,18
21037843,ACT HOUSTON-ALT CERT FOR TEACHERS,150,0,10,10
21037743,ACT SAN ANTONIO,135,0,9,9
25048743,ACTION CAREER TRAINING,195,0,13,13
25132143,ACTION CAREER TRAINING III,270,0,18,18
21966110,ACUPUNCTURE AND MASSAGE COLLEGE,75,0,5,5
15610525,ADAIR COUNTY AMBULANCE DISTRICT THE ACADEMY,15,0,1,1
11011206,ADAMS STATE UNIVERSITY,2250,0,150,150
31939162,ADAMSON UNIVERSITY,45,0,3,3
31383232,ADELPHI UNIVERSITY,1530,0,102,102
14999432,ADIRONDACK COMMUNITY COLLEGE,2055,0,137,137
21013923,ADLER GRADUATE SCHOOL,30,0,2,2
31048013,ADLER UNIVERSITY,930,0,62,62
21900107,ADONAI COLLEGE OF THEOLOGY,30,0,2,2
25202031,ADORABELLA BEAUTY ACADEMY OF BARBER & COSMETOLOGY,60,0,4,4
31000622,ADRIAN COLLEGE,345,0,23,23
25014005,ADRIAN'S BEAUTY COLLEGE OF TURLOCK,15,0,1,1
15528835,ADULT AND COMMUNITY EDUCATION,30,0,2,2
25172805,ADVANCE BEAUTY TECH ACADEMY,75,0,5,5
25110105,ADVANCE COLLEGE,15,0,1,1
25139005,ADVANCE CONTRACTOR AND INSPECTOR TRAINING,15,0,1,1
25552517,ADVANCE MASSAGE THERAPEUTICS,90,0,6,6
25132805,ADVANCE SCHOOL OF DRIVING INC,345,0,23,23
25219815,ADVANCED AIR INC,75,0,5,5
25008920,ADVANCED AVIATION GROUP-FREDERICK FLIGHT CENTER,15,0,1,1
25055943,ADVANCED BARBER COLLEGE AND HAIR DESIGN INC,210,0,14,14
25029303,ADVANCED BUSINESS LEARNING,150,0,10,10
25115205,ADVANCED CAREER INSTITUTE,1245,0,83,83
24009405,ADVANCED COLLEGE,45,0,3,3
22000103,ADVANCED DESERT DERMATOLOGY,15,0,1,1
25077413,ADVANCED EDUCATOR SCHOOL OF BEAUTY,15,0,1,1
28000449,ADVANCED INSTITUTE OF HAIR DESIGN DBA VICI BEAUTY SCHOOL,30,0,2,2
25007026,ADVANCED TAXIDERMY TRAINING CENTER,15,0,1,1
24960446,ADVANCED TECHNOLOGY INSTITUTE,5400,0,360,360
24004905,ADVANCED TRAINING ASSOCIATES,615,0,41,41
25008828,ADVANCED TRAINING INSTITUTE,3000,0,200,200
25024449,ADVANCED WELDING INSTITUTE,45,0,3,3
25004545,ADVANCED WELDING INSTITUTE,30,0,2,2
25018330,ADVANTAGE CAREER INSTITUTE,75,0,5,5
31966110,ADVENTIST UNIVERSITY OF HEALTH SCIENCES,1080,0,72,72
31953162,ADVENTIST UNIVERSITY OF THE PHILIPPINES,45,0,3,3
249E0435,ADVERTISING ART EDUCATIONAL SERVICES DBA SCHOOL OF ADVERTISING ART,105,0,7,7
25006626,AERIE BACKCOUNTRY MEDICINE,150,0,10,10
25262110,AEROELITE TRAINING LLC DBA AEROSIM TRAINING SOLUTIONS DBA AEROSIM,135,0,9,9
25261010,AEROSTAR TRAINING SERVICES,105,0,7,7
25400038,AERO-TECH SERVICES,135,0,9,9
25394332,AESTHETIC SCIENCE INSTITUTE,30,0,2,2
25443547,AESTHETICS NORTHWEST INSTITUTE INC,60,0,4,4
25130041,AETECH ELECTRICAL TRAINING CENTER,30,0,2,2
25048501,AFFORDABLE TRUCK DRIVER TRAINING,60,0,4,4
11200390,AGH UNIVERSITY OF SCIENCE AND TECHNOLOGY,15,0,1,1
31000111,AGNES SCOTT COLLEGE,570,0,38,38
31830010,AI MIAMI INTERNATIONAL UNIVERSITY OF ART AND DESIGN,690,0,46,46
21830010,AI MIAMI INTERNATIONAL UNIVERSITY OF ART AND DESIGN,240,0,16,16
24000085,AICHI UNIVERSITY OF TECHNOLOGY,15,0,1,1
28080840,AIKEN SCHOOL OF COSMETOLOGY AND BARBERING,90,0,6,6
14938440,AIKEN TECHNICAL COLLEGE,2265,0,151,151
