va_facility_code,va_facility_name,school_level_va,retention_rate_veteran_ba,retention_rate_veteran_otb,persistance_rate_veteran_ba,persistance_rate_veteran_otb,graduation_rate_veteran,transfer_out_rate_veteran
24948436,VATTEROTT COLLEGE-OKLAHOMA CITY,2-year,,0.933,,0.933,0.333,0.0
25012720,ALL-STATE CAREER SCHOOL-BALTIMORE,NCD,,0.75,,0.75,,
25133943,NEW HORIZONS CLC OF HOUSTON LLC,NCD,,1.0,,1.0,,
31001337,NORTHWEST CHRISTIAN UNIVERSITY,4-year,1.0,,1.0,,,
31002011,PAINE COLLEGE,4-year,0.0,,1.0,,,
31008649,MARANATHA BAPTIST UNIVERSITY,4-year,1.0,,1.0,,,
31000825,ROCKHURST UNIVERSITY,4-year,1.0,,1.0,,,
31001415,MORNINGSIDE COLLEGE,4-year,0.667,,0.667,,,
31925138,CARLOW UNIVERSITY,4-year,1.0,,1.0,,,
31902201,OAKWOOD UNIVERSITY,4-year,1.0,,1.0,,,
31945138,ALBRIGHT COLLEGE,4-year,,,,,,
31801218,UPPER IOWA UNIVERSITY ALEXANDRIA,4-year,0.735,0.6,0.824,0.8,,
31902119,SOUTHERN NEW HAMPSHIRE UNIVERSITY-BRUNSWICK,4-year,0.851,0.923,0.917,1.0,,
31801318,UPPER IOWA UNIVERSITY NEW ORLEANS,4-year,0.735,0.6,0.824,0.8,,
31965235,JOHN CARROLL UNIVERSITY,4-year,1.0,,1.0,,,
31803220,JOHNS HOPKINS UNIVERSITY SCHOOL OF EDUCATION,4-year,0.75,1.0,0.75,1.0,,
31013638,NEUMANN UNIVERSITY,4-year,1.0,1.0,1.0,1.0,,
31804132,MEDAILLE COLLEGE,4-year,1.0,,1.0,,,
11839310,MIAMI-DADE COLLEGE-MEDICAL CENTER CAMPUS,4-year,0.5,0.802,0.5,0.914,,
14925404,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE-BATESVILLE,2-year,,1.0,,1.0,0.5,0.25
14933423,RIDGEWATER COLLEGE-WILLMAR,2-year,,0.8,,0.8,0.0,0.714
14927405,PORTERVILLE COLLEGE,2-year,,0.5,,1.0,0.0,0.286
24003705,AMERICAN CAREER COLLEGE-LOS ANGELES,2-year,,0.857,,0.857,0.0,1.0
21917311,VIRGINIA COLLEGE-MACON,4-year,,1.0,,1.0,,
21000515,ITT TECHNICAL INSTITUTE-CLIVE,4-year,,1.0,,1.0,,
21005003,NATIONAL PARALEGAL COLLEGE,4-year,,,,,,
21003363,NATIONAL UNIVERSITY COLLEGE-PONCE,4-year,,0.0,,0.0,,
