va_facility_code,va_facility_name,school_level_va,retention_rate_veteran_ba,retention_rate_veteran_otb,persistance_rate_veteran_ba,persistance_rate_veteran_otb,graduation_rate_veteran,transfer_out_rate_veteran
21907103,UNIVERSITY OF PHOENIX-ONLINE CAMPUS,4-year,0.755,0.767,0.865,0.85,,
21913148,AMERICAN PUBLIC UNIVERSITY SYSTEM,4-year,0.791,0.721,0.875,0.843,,
11801720,UNIVERSITY OF MARYLAND-UNIVERSITY COLLEGE,4-year,0.751,0.702,0.839,0.851,,
21000415,ASHFORD UNIVERSITY-ON LINE,4-year,0.855,0.667,0.871,1.0,,
31926246,LIBERTY UNIVERSITY,4-year,0.86,0.844,0.91,0.883,,
21060410,KAPLAN UNIVERSITY-FT LAUDERDALE,4-year,0.814,0.778,0.907,0.889,,
21911801,COLUMBIA SOUTHERN UNIVERSITY,4-year,0.894,0.854,0.912,0.922,,
14806143,CENTRAL TEXAS COLLEGE MAIN CAMPUS,2-year,,0.622,,0.824,0.0,0.613
21006103,GRAND CANYON UNIVERSITY,4-year,0.767,,0.907,,,
21125916,GRANTHAM UNIVERSITY,4-year,0.364,0.317,0.927,0.861,,
31805629,SOUTHERN NEW HAMPSHIRE UNIVERSITY,4-year,0.851,0.923,0.917,1.0,,
31939105,NATIONAL UNIVERSITY-SAN DIEGO,4-year,0.814,0.835,0.94,0.899,,
11905103,ARIZONA STATE UNIVERSITY-TEMPE,4-year,0.817,,0.893,,,
21809306,COLORADO TECHNICAL UNIVERSITY-ONLINE,4-year,0.784,0.6,0.919,0.8,,
21891605,UNIVERSITY OF PHOENIX-SOUTHERN CALIFORNIA CAMPUS,4-year,0.857,,0.936,,,
31002144,WESTERN GOVERNORS UNIVERSITY,4-year,0.964,,0.964,,,
21805113,DEVRY UNIVERSITY ONLINE,4-year,0.787,0.842,0.862,0.895,,
21970110,FULL SAIL UNIVERSITY,4-year,0.857,0.833,0.916,0.833,,
21891705,UNIVERSITY OF PHOENIX-SAN DIEGO CAMPUS,4-year,0.857,,0.936,,,
11969110,FLORIDA STATE COLLEGE AT JACKSONVILLE,4-year,0.0,0.885,1.0,0.934,,
14977443,AUSTIN COMMUNITY COLLEGE DISTRICT,2-year,,0.768,,0.886,0.0,0.524
14930246,NORTHERN VIRGINIA COMMUNITY COLLEGE-ANNANDALE,2-year,0.0,0.811,0.0,0.913,0.011,0.774
11900146,OLD DOMINION UNIVERSITY,4-year,0.784,0.667,0.91,0.667,,
14932406,PIKES PEAK COMMUNITY COLLEGE,2-year,,0.838,,0.919,0.019,0.497
31905132,EXCELSIOR COLLEGE,4-year,0.866,0.912,0.915,0.971,,
14919433,FAYETTEVILLE TECHNICAL COMMUNITY COLLEGE,2-year,,0.75,,0.856,0.012,0.424
21014023,CAPELLA UNIVERSITY,4-year,0.818,,0.818,,,
14973443,SAN ANTONIO COLLEGE,2-year,1.0,0.78,1.0,0.901,0.0,0.533
21008705,TRIDENT UNIVERSITY INTERNATIONAL,4-year,0.78,,0.836,,,
14998443,TARRANT COUNTY COLLEGE DISTRICT,2-year,,0.745,,0.849,0.064,0.406
21013723,WALDEN UNIVERSITY,4-year,0.8,0.8,0.84,1.0,,
21891505,UNIVERSITY OF PHOENIX-BAY AREA CAMPUS,4-year,0.857,,0.936,,,
14916446,TIDEWATER COMMUNITY COLLEGE-VIRGINIA BEACH,2-year,,0.634,,0.869,0.066,0.573
14974443,LONE STAR COLLEGE SYSTEM,2-year,,0.814,,0.9,0.063,0.427
119G2143,THE UNIVERSITY OF TEXAS AT SAN ANTONIO,4-year,0.848,1.0,0.924,1.0,,
11939138,PENNSYLVANIA STATE UNIVERSITY-MAIN CAMPUS,4-year,0.892,0.643,0.931,0.643,,
11800001,TROY UNIVERSITY,4-year,0.779,0.474,0.842,0.526,,
119D9143,TEXAS STATE UNIVERSITY,4-year,0.895,,0.93,,,
11922146,GEORGE MASON UNIVERSITY,4-year,0.822,0.0,0.844,0.0,,
14929410,VALENCIA COLLEGE,2-year,0.0,0.74,1.0,0.904,0.213,0.412
11821010,UNIVERSITY OF SOUTH FLORIDA-MAIN CAMPUS,4-year,0.902,0.0,0.961,0.0,,
21953346,ECPI UNIVERSITY,4-year,0.859,0.789,0.945,0.883,,
11955110,UNIVERSITY OF CENTRAL FLORIDA,4-year,0.968,1.0,1.0,1.0,,
21805413,AMERICAN INTERCONTINENTAL UNIVERSITY-ONLINE,4-year,0.4,1.0,0.6,1.0,,
11800120,UNIVERSITY OF MARYLAND-UNIVERSITY COLLEGE-EUROPEAN DIVISION,4-year,0.751,0.702,0.839,0.851,,
11513535,OHIO STATE UNIVERSITY-MAIN CAMPUS,4-year,0.875,1.0,0.903,1.0,,
11008243,UNIVERSITY OF NORTH TEXAS,4-year,0.782,,0.857,,,
31806810,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY-ONLINE,4-year,0.832,0.683,0.903,0.857,,
149G8143,EL PASO COMMUNITY COLLEGE,2-year,,0.662,,0.818,0.047,0.588
11000643,THE UNIVERSITY OF TEXAS AT ARLINGTON,4-year,0.803,,0.939,,,
14805110,HILLSBOROUGH COMMUNITY COLLEGE-COLLABORATION STUDIO,2-year,,0.723,,0.896,0.042,0.615
11802706,UNIVERSITY OF COLORADO-COLORADO SPRINGS,4-year,0.84,1.0,0.908,1.0,,
31001527,BELLEVUE UNIVERSITY,4-year,0.886,1.0,0.904,1.0,,
149H9143,NORTHWEST VISTA COLLEGE,2-year,,0.83,,0.9,0.0,0.746
11850110,ST PETERSBURG COLLEGE - CLEARWATER,4-year,0.333,0.425,0.667,0.858,,
14961443,HOUSTON COMMUNITY COLLEGE,2-year,,0.745,,0.89,0.015,0.515
14981405,PALOMAR COLLEGE,2-year,1.0,0.8,1.0,0.966,0.0,0.547
14933433,COASTAL CAROLINA COMMUNITY COLLEGE,2-year,,0.804,,0.882,0.0,0.566
11000901,UNIVERSITY OF ALABAMA,4-year,0.793,,0.862,,,
14906437,PORTLAND COMMUNITY COLLEGE,2-year,,0.822,,0.908,0.11,0.417
11880042,AUSTIN PEAY STATE UNIVERSITY,4-year,0.739,0.625,0.82,0.75,,
21000411,SOUTH UNIVERSITY-SAVANNAH,4-year,0.833,0.929,0.917,0.929,,
11910105,SAN DIEGO STATE UNIVERSITY,4-year,0.891,0.0,0.957,0.0,,
11014143,THE UNIVERSITY OF TEXAS AT EL PASO,4-year,0.915,,0.972,,,
14915440,TRIDENT TECHNICAL COLLEGE,2-year,,0.725,,0.808,0.148,0.361
31924138,VILLANOVA UNIVERSITY,4-year,0.0,0.48,0.0,0.52,,
11904102,UNIVERSITY OF ALASKA ANCHORAGE,4-year,0.712,0.8,0.827,0.886,,
11908028,COLLEGE OF SOUTHERN NEVADA,4-year,,0.711,,0.86,,
21113905,ALLIED AMERICAN UNIVERSITY,4-year,0.875,0.682,0.875,0.848,,
11028943,TEXAS A & M UNIVERSITY-COLLEGE STATION,4-year,0.871,,1.0,,,
14913440,MIDLANDS TECHNICAL COLLEGE,2-year,,0.81,,0.828,0.1,0.529
21002444,STRAYER UNIVERSITY-ONLINE-SALT LAKE CITY,4-year,0.808,0.875,0.933,0.938,,
31712164,HAWAII PACIFIC UNIVERSITY,4-year,0.824,0.857,0.912,0.964,,
11903103,UNIVERSITY OF ARIZONA,4-year,0.773,,0.864,,,
11801140,UNIVERSITY OF SOUTH CAROLINA-COLUMBIA,4-year,0.893,1.0,1.0,1.0,,
11011006,COLORADO STATE UNIVERSITY-FT COLLINS,4-year,0.857,1.0,0.948,1.0,,
11015043,UNIVERSITY OF HOUSTON,4-year,0.814,,0.898,,,
14989405,SAN DIEGO MESA COLLEGE,2-year,1.0,0.712,1.0,0.896,0.01,0.84
11805042,MIDDLE TENNESSEE STATE UNIVERSITY,4-year,0.874,,0.908,,,
14931443,ST PHILIP'S COLLEGE,2-year,1.0,0.652,1.0,0.826,0.0,0.606
24805538,THE ART INSTITUTE OF PITTSBURGH-ONLINE DIVISION,2-year,0.625,0.711,0.736,0.789,0.036,0.327
11963110,UNIVERSITY OF WEST FLORIDA,4-year,0.891,,0.935,,,
11905146,VIRGINIA COMMONWEALTH UNIVERSITY,4-year,0.852,,0.926,,,
14986410,BROWARD COLLEGE,2-year,1.0,0.82,1.0,0.95,0.059,0.525
119A9110,NORTHWEST FLORIDA STATE COLLEGE,4-year,0.833,0.792,1.0,0.892,,
28153910,UNIVERSAL TECHNICAL INSTITUTE-AUTO MOTORCYCLE & MARINE MECHANICS INSTITUTE,NCD,,0.839,,0.896,,
119C7110,PENSACOLA STATE COLLEGE,4-year,,0.852,,0.914,,
21915164,UNIVERSITY OF PHOENIX-HAWAII CAMPUS,4-year,0.824,,0.92,,,
11801128,UNIVERSITY OF NEVADA LAS VEGAS,4-year,0.844,0.5,0.969,0.5,,
14903431,CENTRAL NEW MEXICO COMMUNITY COLLEGE,2-year,,0.929,,0.929,0.125,0.5
149C1443,SAN JACINTO COMMUNITY COLLEGE,2-year,1.0,0.759,1.0,0.845,0.0,0.443
11900116,KANSAS STATE UNIVERSITY,4-year,0.764,,0.899,,,
11801136,UNIVERSITY OF OKLAHOMA-NORMAN CAMPUS,4-year,0.685,,0.778,,,
11808133,EAST CAROLINA UNIVERSITY,4-year,0.769,,0.923,,,
21809106,COLORADO TECHNICAL UNIVERSITY-COLORADO SPRINGS,4-year,0.831,0.765,0.949,0.941,,
11516135,UNIVERSITY OF CINCINNATI-MAIN CAMPUS,4-year,0.871,0.673,0.935,0.788,,
14908446,THOMAS NELSON COMMUNITY COLLEGE,2-year,,0.609,,0.891,0.0,0.62
14908403,MESA COMMUNITY COLLEGE,2-year,,0.754,,0.89,0.0,0.639
11903106,METROPOLITAN STATE UNIVERSITY OF DENVER,4-year,0.838,,0.939,,,
14921105,MIRACOSTA COLLEGE,2-year,0.824,0.611,0.922,0.846,0.025,0.667
11919137,PORTLAND STATE UNIVERSITY,4-year,0.808,,0.936,,,
11916137,OREGON STATE UNIVERSITY,4-year,0.878,,0.939,,,
149E5435,COLUMBUS STATE COMMUNITY COLLEGE,2-year,,0.828,,0.875,0.009,0.411
11029843,THE UNIVERSITY OF TEXAS AT AUSTIN,4-year,0.842,,0.947,,,
14920447,PIERCE COLLEGE AT FT STEILACOOM,2-year,,0.764,,0.897,0.035,0.56
31817446,SAINT LEO UNIVERSITY-SOUTH HAMPTON ROADS CENTER,4-year,0.836,0.809,0.913,0.855,,
11010411,KENNESAW STATE UNIVERSITY,4-year,0.838,,0.932,,,
31005443,UNIVERSITY OF THE INCARNATE WORD,4-year,0.866,1.0,0.902,1.0,,
11800131,UNIVERSITY OF NEW MEXICO-MAIN CAMPUS,4-year,0.816,0.5,0.895,1.0,,
11000449,UNIVERSITY OF WISCONSIN-MILWAUKEE,4-year,0.901,,0.944,,,
11017310,FLORIDA INTERNATIONAL UNIVERSITY,4-year,0.75,,0.875,,,
11917117,EASTERN KENTUCKY UNIVERSITY,4-year,0.889,0.6,0.926,1.0,,
11003136,CAMERON UNIVERSITY,4-year,0.788,0.909,0.909,1.0,,
11991112,BOISE STATE UNIVERSITY,4-year,0.776,,0.851,,,
11800220,UNIVERSITY OF MARYLAND-UNIVERSITY COLLEGE-ASIAN DIVISION,4-year,0.751,0.702,0.839,0.851,,
14904403,PIMA COMMUNITY COLLEGE,2-year,,0.58,,0.773,0.028,0.542
11030043,TEXAS TECH UNIVERSITY,4-year,0.772,,0.877,,,
11901133,UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE,4-year,0.927,,0.945,,,
11904130,THOMAS EDISON STATE COLLEGE,4-year,0.78,0.538,0.835,0.615,,
119D1110,EASTERN FLORIDA STATE COLLEGE,4-year,,0.767,,0.8,,
14910427,METROPOLITAN COMMUNITY COLLEGE,2-year,,0.794,,0.921,0.024,0.488
11909111,GEORGIA STATE UNIVERSITY,4-year,0.816,,0.918,,,
14945405,SOUTHWESTERN COLLEGE,2-year,0.842,0.763,0.895,0.816,0.0,0.582
11805047,UNIVERSITY OF WASHINGTON-SEATTLE CAMPUS,4-year,0.971,0.5,0.971,0.5,,
11000201,AUBURN UNIVERSITY,4-year,0.824,,0.941,,,
14970405,GROSSMONT COLLEGE,2-year,,0.669,,0.897,0.0,0.698
11839010,MIAMI-DADE COLLEGE-KENDALL CAMPUS,4-year,0.5,0.802,0.5,0.914,,
11807047,WASHINGTON STATE UNIVERSITY,4-year,0.773,1.0,0.932,1.0,,
14921433,WAKE TECHNICAL COMMUNITY COLLEGE,2-year,,0.818,,0.909,0.08,0.402
14902420,ANNE ARUNDEL COMMUNITY COLLEGE,2-year,,0.754,,0.862,0.0,0.533
11801427,UNIVERSITY OF NEBRASKA AT OMAHA,4-year,0.818,,0.935,,,
11012606,COLORADO STATE UNIVERSITY-GLOBAL CAMPUS,4-year,0.763,0.0,0.814,0.0,,
31801008,WILMINGTON UNIVERSITY,4-year,0.85,0.8,0.875,0.9,,
31500925,WEBSTER UNIVERSITY,4-year,0.708,0.0,0.792,0.0,,
14907403,GLENDALE COMMUNITY COLLEGE,2-year,,0.741,,0.882,0.11,0.538
11802506,UNIVERSITY OF COLORADO DENVER,4-year,0.846,1.0,0.954,1.0,,
11903414,INDIANA UNIVERSITY-PURDUE UNIVERSITY-INDIANAPOLIS,4-year,0.846,0.5,0.908,0.5,,
11800048,WEST VIRGINIA UNIVERSITY,4-year,0.811,0.714,0.892,0.714,,
31505105,UNIVERSITY OF SOUTHERN CALIFORNIA,4-year,1.0,0.0,1.0,0.0,,
14925438,HARRISBURG AREA COMMUNITY COLLEGE-HARRISBURG,2-year,,0.769,,0.862,0.265,0.368
31907109,GEORGE WASHINGTON UNIVERSITY,4-year,0.737,,0.947,,,
14913164,LEEWARD COMMUNITY COLLEGE,2-year,,0.72,,0.86,0.0,0.571
11011201,UNIVERSITY OF SOUTH ALABAMA,4-year,0.667,0.0,0.795,0.5,,
14963405,SAN DIEGO CITY COLLEGE,2-year,0.333,0.756,1.0,0.921,0.0,0.838
11913164,UNIVERSITY OF HAWAII AT MANOA,4-year,0.821,,0.893,,,
31841146,REGENT UNIVERSITY,4-year,0.926,1.0,1.0,1.0,,
11956110,UNIVERSITY OF NORTH FLORIDA,4-year,0.933,1.0,0.967,1.0,,
11966135,OHIO UNIVERSITY-MAIN CAMPUS,4-year,0.857,0.75,1.0,0.958,,
11034043,TEXAS A&M UNIVERSITY-CENTRAL TEXAS,4-year,0.75,,0.875,,,
14903144,SALT LAKE COMMUNITY COLLEGE,2-year,,0.776,,0.806,0.156,0.312
31032743,WAYLAND BAPTIST UNIVERSITY SAN ANTONIO,4-year,0.825,0.857,0.881,0.857,,
11804133,FAYETTEVILLE STATE UNIVERSITY,4-year,0.804,,0.857,,,
11802136,OKLAHOMA STATE UNIVERSITY-MAIN CAMPUS,4-year,0.944,0.7,1.0,0.8,,
14994405,AMERICAN RIVER COLLEGE,2-year,0.767,0.6,0.933,0.673,0.0,0.514
14985405,SAN DIEGO MIRAMAR COLLEGE,2-year,,0.683,,0.822,0.029,0.657
24944503,SONORAN DESERT INSTITUTE,2-year,,0.956,,0.956,0.5,0.125
11946136,UNIVERSITY OF CENTRAL OKLAHOMA,4-year,0.714,1.0,0.81,1.0,,
14922447,TACOMA COMMUNITY COLLEGE,2-year,,0.845,,0.908,0.198,0.475
11816010,FLORIDA STATE UNIVERSITY,4-year,0.615,,0.769,,,
11844035,WRIGHT STATE UNIVERSITY-MAIN CAMPUS,4-year,0.667,1.0,0.81,1.0,,
21953646,STRAYER UNIVERSITY-ALEXANDRIA,4-year,0.808,0.875,0.933,0.938,,
11006133,UNIVERSITY OF NORTH CAROLINA AT WILMINGTON,4-year,0.75,,0.904,,,
149F3443,COLLIN COUNTY COMMUNITY COLLEGE DISTRICT,2-year,,0.708,,0.849,0.123,0.494
11900117,UNIVERSITY OF KENTUCKY,4-year,0.9,,0.967,,,
11802042,THE UNIVERSITY OF TENNESSEE-KNOXVILLE,4-year,0.765,0.0,0.941,0.417,,
11802106,UNIVERSITY OF COLORADO BOULDER,4-year,0.817,0.5,0.967,0.5,,
11927111,COLUMBUS STATE UNIVERSITY,4-year,0.8,1.0,0.911,1.0,,
11906103,NORTHERN ARIZONA UNIVERSITY,4-year,0.765,0.0,0.824,0.667,,
21943113,DEVRY UNIVERSITY-KELLER GRADUATE SCH MGMT,4-year,0.787,0.842,0.862,0.895,,
21957105,ACADEMY OF ART UNIVERSITY,4-year,0.94,0.857,1.0,1.0,,
14022443,PALO ALTO COLLEGE,2-year,,0.875,,0.875,0.0,0.625
11006124,MISSISSIPPI STATE UNIVERSITY,4-year,0.789,,0.842,,,
11815146,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,4-year,0.667,0.667,1.0,1.0,,
119A7110,DAYTONA STATE COLLEGE,4-year,0.0,0.667,0.5,0.827,,
11917111,GEORGIA SOUTHERN UNIVERSITY-STATESBORO,4-year,0.793,,0.931,,,
11000510,UNIVERSITY OF FLORIDA,4-year,0.889,0.5,0.889,1.0,,
11983113,SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE,4-year,0.742,1.0,0.774,1.0,,
11800118,LOUISIANA STATE UNIVERSITY-BATON ROUGE,4-year,0.852,1.0,0.963,1.0,,
31400225,COLUMBIA COLLEGE COLUMBIA,4-year,0.713,0.655,0.787,0.858,,
14907105,CITY COLLEGE OF SAN FRANCISCO,2-year,0.63,0.784,0.826,0.865,0.0,0.611
14909446,TIDEWATER COMMUNITY COLLEGE-PORTSMOUTH,2-year,,0.634,,0.869,0.066,0.573
14914413,SOUTHWESTERN ILLINOIS COLLEGE,2-year,,0.676,,0.882,0.128,0.41
25805605,NEW HORIZONS COMPUTER LEARNING CTR-ANAHEIM,NCD,,0.86,,0.93,,
31817246,SAINT LEO UNIVERSITY-VIRGINA PENINSULA EDUCATION CENTER,4-year,0.836,0.809,0.913,0.855,,
119F8443,SAM HOUSTON STATE UNIVERSITY,4-year,0.968,,1.0,,,
11901117,UNIVERSITY OF LOUISVILLE,4-year,0.744,,0.795,,,
14972405,MT SAN JACINTO COMMUNITY COLLEGE DISTRICT,2-year,0.619,0.781,0.857,0.859,0.0,0.6
11802123,UNIVERSITY OF MINNESOTA-TWIN CITIES,4-year,0.789,,0.842,,,
11912111,UNIVERSITY OF NORTH GEORGIA,4-year,0.923,0.615,1.0,0.731,,
21904103,UNIVERSITY OF PHOENIX-PHOENIX CAMPUS,4-year,0.755,0.767,0.865,0.85,,
11860010,PALM BEACH STATE COLLEGE,4-year,0.0,0.772,0.0,0.912,,
11900144,UTAH VALLEY UNIVERSITY,4-year,0.725,0.75,0.875,0.833,,
11800020,UNIVERSITY OF MARYLAND-COLLEGE PARK,4-year,0.784,,0.946,,,
11909117,WESTERN KENTUCKY UNIVERSITY,4-year,0.682,0.0,0.864,0.0,,
31807110,SAINT LEO UNIVERSITY UNIVERSITY CAMPUS,4-year,0.836,0.809,0.913,0.855,,
11920144,UNIVERSITY OF UTAH,4-year,0.848,1.0,0.939,1.0,,
14960411,SAVANNAH TECHNICAL COLLEGE,2-year,,0.759,,0.873,0.194,0.484
11965135,UNIVERSITY OF AKRON MAIN CAMPUS,4-year,0.825,0.9,0.875,1.0,,
31818610,SAINT LEO UNIVERSITY CENTER FOR ONLINE LEARNING,4-year,0.836,0.809,0.913,0.855,,
13960125,MISSOURI STATE UNIVERSITY-SPRINGFIELD,4-year,0.756,,0.867,,,
11901102,UNIVERSITY OF ALASKA FAIRBANKS,4-year,0.75,0.795,0.85,0.872,,
11914111,ARMSTRONG STATE UNIVERSITY,4-year,0.702,1.0,0.851,1.0,,
11920113,SOUTHERN ILLINOIS UNIVERSITY-EDWARDSVILLE,4-year,1.0,0.0,1.0,0.0,,
11902044,WEBER STATE UNIVERSITY,4-year,0.811,0.944,0.919,0.944,,
11900238,TEMPLE UNIVERSITY,4-year,0.841,0.75,0.913,0.75,,
11801005,CALIFORNIA STATE UNIVERSITY-SAN MARCOS,4-year,0.852,,0.889,,,
24909403,UNIVERSAL TECHNICAL INSTITUTE OF ARIZONA INC,2-year,1.0,0.872,1.0,0.93,0.607,0.202
11901115,IOWA STATE UNIVERSITY,4-year,0.905,,0.905,,,
21002903,NORTHCENTRAL UNIVERSITY,4-year,,,,,,
11001433,NORTH CAROLINA STATE UNIVERSITY AT RALEIGH,4-year,0.889,1.0,0.889,1.0,,
24912414,ITT TECHNICAL INSTITUTE-ONLINE,2-year,,0.818,,0.909,0.019,0.596
14930436,TULSA COMMUNITY COLLEGE,2-year,,0.767,,0.9,0.023,0.419
21112105,THE ART INSTITUTE OF CALIFORNIA-ARGOSY UNIVERSITY SAN DIEGO,4-year,0.828,0.762,0.946,0.905,,
119C0110,SEMINOLE STATE COLLEGE OF FLORIDA,4-year,1.0,0.657,1.0,0.836,,
14007835,SINCLAIR COMMUNITY COLLEGE,2-year,,0.759,,0.828,0.0,0.244
11807024,UNIVERSITY OF SOUTHERN MISSISSIPPI HATTI,4-year,0.639,,0.889,,,
11001801,UNIVERSITY OF ALABAMA AT BIRMINGHAM,4-year,0.8,1.0,0.867,1.0,,
14909414,IVY TECH COMMUNITY COLLEGE,2-year,0.0,0.728,1.0,0.879,0.083,0.484
14929436,OKLAHOMA CITY COMMUNITY COLLEGE,2-year,,0.686,,0.829,0.119,0.452
14914440,GREENVILLE TECHNICAL COLLEGE,2-year,,0.776,,0.879,0.0,0.375
11961125,UNIVERSITY OF MISSOURI COLUMBIA,4-year,1.0,,1.0,,,
119K7143,TEXAS A & M UNIVERSITY-CORPUS CHRISTI,4-year,0.816,,0.895,,,
31813010,NOVA SOUTHEASTERN UNIVERSITY,4-year,0.867,,0.867,,,
25003303,UNIVERSAL TECHNICAL INSTITUTE OF ARIZONA INC-MOTORCYCLE MECHANICS INSTITUTE DIV,NCD,,0.913,,0.95,0.5,
11805122,CENTRAL MICHIGAN UNIVERSITY,4-year,0.9,,0.95,,,
11965125,UNIVERSITY OF CENTRAL MISSOURI,4-year,0.548,0.6,0.677,0.8,,
14944410,PASCO-HERNANDO STATE COLLEGE,2-year,1.0,0.855,1.0,0.919,0.267,0.267
11908142,UNIVERSITY OF MEMPHIS,4-year,0.814,,0.884,,,
31806110,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY-DAYTONA BEACH,4-year,0.88,0.923,0.904,1.0,,
14912420,COLLEGE OF SOUTHERN MARYLAND,2-year,,0.689,,0.824,0.077,0.487
11842035,KENT STATE UNIVERSITY AT KENT,4-year,0.875,1.0,0.958,1.0,,
14809011,GEORGIA PERIMETER COLLEGE,2-year,,0.833,,0.903,0.0,0.526
119B7110,SANTA FE COLLEGE,4-year,1.0,0.859,1.0,0.938,,
14912433,CENTRAL PIEDMONT COMMUNITY COLLEGE,2-year,,0.804,,0.902,0.122,0.537
13000146,JAMES MADISON UNIVERSITY,4-year,0.8,,1.0,,,
14928447,SOUTH PUGET SOUND COMMUNITY COLLEGE,2-year,,0.771,,0.844,0.217,0.317
11810104,UNIVERSITY OF ARKANSAS,4-year,0.8,,0.867,,,
31801045,NORWICH UNIVERSITY,4-year,1.0,,1.0,,,
11800116,UNIVERSITY OF KANSAS,4-year,0.579,,0.737,,,
14953432,JEFFERSON COMMUNITY COLLEGE,2-year,,0.875,,0.979,0.0,0.633
14930411,COLUMBUS TECHNICAL COLLEGE,2-year,,0.855,,0.945,0.021,0.396
14927446,TIDEWATER COMMUNITY COLLEGE,2-year,,0.634,,0.869,0.066,0.573
11880142,AUSTIN PEAY STATE UNIVERSITY-FT CAMPBELL,4-year,0.739,0.625,0.82,0.75,,
14927417,HOPKINSVILLE COMMUNITY COLLEGE,2-year,0.0,0.478,0.0,0.59,0.0,0.556
11918105,CALIFORNIA STATE UNIVERSITY-NORTHRIDGE,4-year,0.788,,0.939,,,
11800126,THE UNIVERSITY OF MONTANA - MISSOULA,4-year,0.792,0.636,0.906,0.636,,
31819110,EVEREST UNIVERSITY-SOUTH ORLANDO,4-year,0.8,0.642,0.9,0.775,,
31917106,REGIS UNIVERSITY,4-year,0.783,,0.957,,,
11802105,CALIFORNIA STATE UNIVERSITY-SACRAMENTO,4-year,0.84,1.0,0.96,1.0,,
14955105,SIERRA COLLEGE,2-year,0.809,0.743,0.872,0.829,0.0,0.692
11001733,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,4-year,0.769,1.0,0.846,1.0,,
11811404,UNIVERSITY OF ARKANSAS AT LITTLE ROCK,4-year,0.812,,0.938,,,
11802034,UNIVERSITY OF NORTH DAKOTA,4-year,0.7,,0.767,,,
31973138,DREXEL UNIVERSITY,4-year,0.853,0.667,0.941,0.667,,
31835010,KEISER UNIVERSITY-FT LAUDERDALE,4-year,0.835,0.889,0.937,0.927,,
14906447,EVERETT COMMUNITY COLLEGE,2-year,,0.795,,0.877,0.117,0.39
14925433,CAPE FEAR COMMUNITY COLLEGE,2-year,,0.735,,0.847,0.101,0.494
11950110,FLORIDA ATLANTIC UNIVERSITY,4-year,0.931,,1.0,,,
11946113,WESTERN ILLINOIS UNIVERSITY,4-year,0.769,,0.846,,,
11900126,MONTANA STATE UNIVERSITY,4-year,0.796,0.533,0.87,0.733,,
14965405,LONG BEACH CITY COLLEGE,2-year,0.735,0.857,0.898,0.857,0.067,0.6
149F4443,SOUTH TEXAS COLLEGE,2-year,1.0,0.784,1.0,0.919,0.066,0.426
14991425,OZARKS TECHNICAL COMMUNITY COLLEGE,2-year,,0.714,,0.816,0.189,0.396
14957447,CLOVER PARK TECHNICAL COLLEGE,2-year,1.0,0.857,1.0,0.878,0.127,0.392
119A5110,INDIAN RIVER STATE COLLEGE,4-year,,0.738,,0.785,,
21376032,DEVRY COLLEGE OF NEW YORK,4-year,0.873,1.0,0.909,1.0,,
21970107,POST UNIVERSITY,4-year,0.691,0.6,0.765,0.8,,
14920411,AUGUSTA TECHNICAL COLLEGE,2-year,,0.761,,0.891,0.0,0.412
14917415,DES MOINES AREA COMMUNITY COLLEGE,2-year,,0.661,,0.78,0.276,0.345
14926446,TIDEWATER COMMUNITY COLLEGE-CHESAPEAKE,2-year,,0.634,,0.869,0.066,0.573
14977405,MT SAN ANTONIO COLLEGE,2-year,,0.859,,0.946,0.0,0.554
11801127,UNIVERSITY OF NEBRASKA-LINCOLN,4-year,0.893,1.0,0.964,1.0,,
21891805,UNIVERSITY OF PHOENIX-SACRAMENTO VALLEY CAMPUS,4-year,0.857,,0.936,,,
21002503,ARGOSY UNIVERSITY-PHOENIX ONLINE DIVISION,4-year,0.5,,0.5,,,
11802131,NEW MEXICO STATE UNIVERSITY-MAIN CAMPUS,4-year,0.81,,0.905,,,
31937132,COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,4-year,0.812,1.0,0.828,1.0,,
14912446,GERMANNA COMMUNITY COLLEGE,2-year,,0.786,,0.857,0.175,0.45
14919404,PULASKI TECHNICAL COLLEGE,2-year,,0.688,,0.781,0.185,0.111
21802301,VIRGINIA COLLEGE-BIRMINGHAM,4-year,0.667,0.659,0.833,0.75,,
14911420,MONTGOMERY COLLEGE,2-year,,0.864,,0.97,0.014,0.634
11029943,TEXAS A & M UNIVERSITY-KINGSVILLE,4-year,0.875,,0.938,,,
14927436,ROSE STATE COLLEGE,2-year,,0.787,,0.872,0.079,0.579
14905437,LANE COMMUNITY COLLEGE,2-year,,0.889,,0.931,0.023,0.341
14907443,DEL MAR COLLEGE,2-year,,0.789,,0.855,0.111,0.315
11918122,WESTERN MICHIGAN UNIVERSITY,4-year,0.864,1.0,0.955,1.0,,
11112047,EASTERN WASHINGTON UNIVERSITY,4-year,0.771,,0.886,,,
25117643,UNIVERSAL TECHNICAL INSTITUTE OF TEXAS INC,NCD,,0.795,,0.892,0.5,
14903447,CLARK COLLEGE,2-year,,0.835,,0.906,0.233,0.25
