Facility Code,Name of Institution,State,Country,Number of Trainees,Profit Status,Type of Payment,Total Cost,Number of payments
219L1143,University Of Phoenix-Houston,Texas,,14,Private profit,Yellow Ribbon,"$12,417.42",22
219L0143,University Of Phoenix-Dallas,Texas,,22,Private profit,Yellow Ribbon,"$18,521.17",32
219D2110,Florida Career College - Tampa,Florida,,3,Private profit,Yellow Ribbon,"$5,018.10",9
219C6110,Strayer University-Brickell Campus,Florida,,6,Private profit,Yellow Ribbon,"$8,429.65",7
219C4110,Rasmussen College - Tampa,Florida,,3,Private profit,Yellow Ribbon,"$3,318.19",3
219C2110,Strayer University - Doral Campus,Florida,,8,Private profit,Yellow Ribbon,"$5,449.67",8
219C1110,Strayer University - Miramar,Florida,,5,Private profit,Yellow Ribbon,"$2,823.80",5
219B6138,Devry University Pittsburgh,Pennsylvania,,8,Private profit,Yellow Ribbon,"$20,443.68",15
219B6110,Virginia College - Jacksonville,Florida,,9,Private profit,Yellow Ribbon,"$9,286.36",10
219B5110,Strayer University - Coral Springs,Florida,,6,Private profit,Yellow Ribbon,"$4,678.99",6
219B4238,Strayer University (Cc Campus),Pennsylvania,,4,Private profit,Yellow Ribbon,"$2,971.27",5
219B4110,Strayer University-Ft Lauderdale,Florida,,8,Private profit,Yellow Ribbon,"$7,366.73",8
219B3138,Devry University - King Of Prussia,Pennsylvania,,5,Private profit,Yellow Ribbon,"$4,516.35",6
219B3110,"Strayer University-Orlando, So Pk Cir",Florida,,10,Private profit,Yellow Ribbon,"$7,371.21",10
219B2138,Devry University - Phila (Cc Campus),Pennsylvania,,11,Private profit,Yellow Ribbon,"$19,925.06",17
219B1138,Devry University - Ft Washington,Pennsylvania,,27,Private profit,Yellow Ribbon,"$58,239.46",48
219B1110,Lincoln College Of Technology,Florida,,4,Private profit,Yellow Ribbon,"$7,641.65",5
219B0138,Central Penn College  Aka Central Pennsylvania College,Pennsylvania,,12,Private profit,Yellow Ribbon,"$16,519.44",15
219B0110,Strayer University - Palm Beach Gardens,Florida,,8,Private profit,Yellow Ribbon,"$6,922.05",9
219A8110,Herzing University,Florida,,4,Private profit,Yellow Ribbon,"$2,227.15",5
219A6110,"Strayer University - Baymeadows Campus, Jacksonville",Florida,,12,Private profit,Yellow Ribbon,"$13,515.85",13
219A4110,Rasmussen College - Ft Myers,Florida,,1,Private profit,Yellow Ribbon,$366.34,1
219A3110,Rasmussen College - Ocala Campus,Florida,,5,Private profit,Yellow Ribbon,"$1,921.50",5
219A1110,Rasmussen College - Pasco County Campus,Florida,,4,Private profit,Yellow Ribbon,"$2,235.12",4
218A0232,Briarcliffe College-Patchogue,New York,,19,Private profit,Yellow Ribbon,"$83,337.87",44
218A0132,Briarcliffe College-Bethpage,New York,,24,Private profit,Yellow Ribbon,"$85,929.44",41
218A0032,Bryant And Stratton College - (Amherst/Getzville),New York,,1,Private profit,Yellow Ribbon,$368.85,1
149C4438,Bucks County Community College,Pennsylvania,,10,Public,Yellow Ribbon,"$14,110.78",30
119A9138,Pennsylvania College Of Technology,Pennsylvania,,33,Public,Yellow Ribbon,"$56,560.01",55
34945432,Trocaire College,New York,,1,Private non-profit,Yellow Ribbon,$595.85,1
34932432,Culinary Institute Of America,New York,,110,Private non-profit,Yellow Ribbon,"$639,178.96",135
34930446,Jefferson College Of Health Sciences,Virginia,,3,Private non-profit,Yellow Ribbon,"$5,872.07",3
34927438,Lackawanna College,Pennsylvania,,1,Private non-profit,Yellow Ribbon,$250.00,1
34925804,Remington College,Arkansas,,1,Private non-profit,Yellow Ribbon,"$1,700.85",1
34925421,Newbury College,Massachusetts,,3,Private non-profit,Yellow Ribbon,"$13,500.00",3
34919142,Remington College - Nashville,Tennessee,,3,Private non-profit,Yellow Ribbon,"$3,012.96",3
34907201,Remington College'S Mobile Campus,Alabama,,2,Private non-profit,Yellow Ribbon,$371.88,3
34903132,Vaughn College Of Aeronautics & Technology,New York,,73,Private non-profit,Yellow Ribbon,"$116,010.95",116
34902433,Brevard College,North Carolina,,8,Private non-profit,Yellow Ribbon,"$25,750.49",10
34901405,American Academy Of Dramatic Arts,California,,16,Private non-profit,Yellow Ribbon,"$84,408.69",17
34901038,Valley Forge Military Academy And College,Pennsylvania,,4,Private non-profit,Yellow Ribbon,"$39,000.00",7
34815021,"Becker College, Worcester",Massachusetts,,14,Private non-profit,Yellow Ribbon,"$80,888.66",14
34800318,Remington College Baton Rouge,Louisiana,,1,Private non-profit,Yellow Ribbon,$348.97,1
34800218,Remington College Shreveport,Louisiana,,3,Private non-profit,Yellow Ribbon,"$4,535.49",5
34800135,Remington College,Ohio,,2,Private non-profit,Yellow Ribbon,"$3,814.19",3
34800118,Remington College Lafayette,Louisiana,,2,Private non-profit,Yellow Ribbon,"$2,962.09",3
34106810,Webber International University,Florida,,2,Private non-profit,Yellow Ribbon,"$2,654.85",3
34038143,Remington College Ft Worth Campus,Texas,,5,Private non-profit,Yellow Ribbon,"$2,392.10",5
34038043,Remington College,Texas,,4,Private non-profit,Yellow Ribbon,"$6,299.49",4
34037943,Remington College Hayes Rd,Texas,,2,Private non-profit,Yellow Ribbon,"$1,401.70",2
34037743,Remington College Garland,Texas,,10,Private non-profit,Yellow Ribbon,"$15,090.46",13
34005821,Bay State College,Massachusetts,,21,Private non-profit,Yellow Ribbon,"$90,905.52",64
34005221,New England Institute Of Art,Massachusetts,,18,Private non-profit,Yellow Ribbon,"$91,264.90",33
34004030,Pillar College,New Jersey,,1,Private non-profit,Yellow Ribbon,$444.85,1
34003511,Young Harris College,Georgia,,1,Private non-profit,Yellow Ribbon,$90.00,1
34003440,Anderson University,South Carolina,,8,Private non-profit,Yellow Ribbon,"$14,770.72",8
34002145,Landmark College,Vermont,,6,Private non-profit,Yellow Ribbon,"$45,459.94",10
34001845,Sterling College,Vermont,,3,Private non-profit,Yellow Ribbon,"$10,000.00",4
34001545,Southern Vermont College,Vermont,,3,Private non-profit,Yellow Ribbon,"$4,646.70",3
34001015,Grand View University,Iowa,,10,Private non-profit,Yellow Ribbon,"$6,740.69",22
34000514,Holy Cross College,Indiana,,1,Private non-profit,Yellow Ribbon,$981.84,1
34000145,Green Mountain College,Vermont,,4,Private non-profit,Yellow Ribbon,"$16,000.00",4
33956113,Concordia University,Illinois,,7,Private non-profit,Yellow Ribbon,"$28,000.00",7
33901113,National-Louis University-Wheeling,Illinois,,11,Private non-profit,Yellow Ribbon,"$14,978.28",15
33002532,Columbia University - Teachers College,New York,,4,Private non-profit,Yellow Ribbon,"$6,495.24",4
33000627,Concordia University,Nebraska,,1,Private non-profit,Yellow Ribbon,"$2,775.84",1
32906109,Georgetown University School Of Medicine,District of Columbia,,1,Private non-profit,Yellow Ribbon,"$2,500.00",1
32900415,Mercy College Of Health Science,Iowa,,6,Private non-profit,Yellow Ribbon,"$8,677.53",6
32900227,Nebraska Methodist College Of Nursing And Allied Health,Nebraska,,1,Private non-profit,Yellow Ribbon,"$1,935.85",2
32837632,"Cornell University-Joan & Sanford I. Weill Medical College, New York Hospital",New York,,2,Private non-profit,Yellow Ribbon,"$7,602.85",2
32801311,Georgia Baptist College Of Nursing Of Mercer,Georgia,,3,Private non-profit,Yellow Ribbon,"$5,991.80",4
32015849,Columbia College Of Nursing,Wisconsin,,1,Private non-profit,Yellow Ribbon,"$1,500.00",1
32001210,University Of Miami  Miller School Of Medicine,Florida,,1,Private non-profit,Yellow Ribbon,$94.49,1
32000946,Virginia Tech Carilion School Of Medicine,Virginia,,3,Private non-profit,Yellow Ribbon,"$7,379.42",5
31999138,Susquehanna University,Pennsylvania,,5,Private non-profit,Yellow Ribbon,"$44,292.54",9
31997138,Delaware Valley College,Pennsylvania,,22,Private non-profit,Yellow Ribbon,"$93,661.75",31
31996212,Concordia University School Of Law,Idaho,,2,Private non-profit,Yellow Ribbon,"$3,533.68",2
31996132,St Thomas Aquinas College,New York,,4,Private non-profit,Yellow Ribbon,"$12,049.20",4
31995138,Arcadia University,Pennsylvania,,20,Private non-profit,Yellow Ribbon,"$60,545.65",25
31994138,Misericordia University,Pennsylvania,,5,Private non-profit,Yellow Ribbon,"$9,078.00",10
31993138,King'S College,Pennsylvania,,7,Private non-profit,Yellow Ribbon,"$18,265.29",8
31992138,Cedar Crest College,Pennsylvania,,2,Private non-profit,Yellow Ribbon,"$3,820.00",3
31990138,Gwynedd Mercy University,Pennsylvania,,19,Private non-profit,Yellow Ribbon,"$69,877.04",27
31988138,Philadelphia University,Pennsylvania,,14,Private non-profit,Yellow Ribbon,"$39,865.80",14
31987143,Schreiner University,Texas,,38,Private non-profit,Yellow Ribbon,"$68,833.70",39
31982132,Elmira College,New York,,11,Private non-profit,Yellow Ribbon,"$45,814.91",15
31980105,Chapman University-Orange,California,,29,Private non-profit,Yellow Ribbon,"$172,461.44",47
31979138,Gannon University,Pennsylvania,,9,Private non-profit,Yellow Ribbon,"$19,413.07",15
31978138,University Of Scranton,Pennsylvania,,34,Private non-profit,Yellow Ribbon,"$229,494.97",52
31973425,Ranken Technical College,Missouri,,13,Private non-profit,Yellow Ribbon,"$14,528.43",15
31973138,Drexel University - Main Campus,Pennsylvania,,233,Private non-profit,Yellow Ribbon,"$1,726,775.35",490
31972138,Duquesne University,Pennsylvania,,42,Private non-profit,Yellow Ribbon,"$137,322.83",46
31972110,Jacksonville University,Florida,,94,Private non-profit,Yellow Ribbon,"$284,150.26",187
31971138,Ursinus College,Pennsylvania,,1,Private non-profit,Yellow Ribbon,"$2,165.84",1
31971105,Fresno Pacific University,California,,6,Private non-profit,Yellow Ribbon,"$14,945.19",10
31970113,Augustana College,Illinois,,6,Private non-profit,Yellow Ribbon,"$34,155.04",11
31970110,Ave Maria University,Florida,,8,Private non-profit,Yellow Ribbon,"$15,286.75",8
31969138,Robert Morris University,Pennsylvania,,67,Private non-profit,Yellow Ribbon,"$264,285.49",129
31969105,San Francisco Art Institute,California,,6,Private non-profit,Yellow Ribbon,"$24,955.36",6
31968125,Saint Louis University,Missouri,,48,Private non-profit,Yellow Ribbon,"$171,661.23",71
31968105,Simpson University,California,,13,Private non-profit,Yellow Ribbon,"$28,894.93",13
31967113,Monmouth College,Illinois,,2,Private non-profit,Yellow Ribbon,"$9,536.69",2
31967110,University Of Miami,Florida,,173,Private non-profit,Yellow Ribbon,"$977,584.58",291
31966125,Maryville University Of St. Louis,Missouri,,13,Private non-profit,Yellow Ribbon,"$35,745.36",19
31965235,John Carroll University,Ohio,,16,Private non-profit,Yellow Ribbon,"$82,432.43",20
31964132,St. John Fisher College,New York,,12,Private non-profit,Yellow Ribbon,"$25,060.59",12
31964113,National University Of Health  Sciences,Illinois,,2,Private non-profit,Yellow Ribbon,"$8,781.06",3
31964105,Menlo College,California,,6,Private non-profit,Yellow Ribbon,"$24,371.23",8
31963135,Mount Vernon Nazarene University,Ohio,,7,Private non-profit,Yellow Ribbon,"$14,745.39",7
31963125,William Jewell College,Missouri,,2,Private non-profit,Yellow Ribbon,"$14,803.93",4
