FACILITY NO.,SCHOOL NAME,STATION,COUNT OF ADV PAY STUDENTS,COUNT OF REG STUDENTS,TOTAL COUNT OF STUDENTS, TOTAL PAID                          
11001978,UNIVERSITY OF PECS                                                    ,307,0,1,1,$9.00 
11002078,ERASMUS UNIVERSITY ROTTERDAM                                          ,307,0,1,1,$9.00 
11002278,UNIVERSITY OF BERN                                                    ,307,0,1,1,$9.00 
11002378,KEA-COPENHAGEN SCHOOL OF DESIGN AND TECHNOLOGY                        ,307,0,2,2,$18.00 
11006578,PONTIFICAL NORTH AMERICAN COLLEGE                                     ,307,0,4,4,$36.00 
11008178,UNIVERSITY OF COPENHAGEN                                              ,307,0,1,1,$9.00 
11100178,UNIVERSITY OF AMSTERDAM                                               ,307,0,4,4,$36.00 
11100378,SEMMELWEIS UNIVERSITY OF MEDICINE                                     ,307,0,1,1,$9.00 
11100578,LISBON SCHOOL OF ECONOMICS AND MANAGEMENT                             ,307,0,1,1,$9.00 
11101078,UNIVERSIDAD CARLOS III DE MADRID                                      ,307,0,1,1,$9.00 
11101678,DAVID SHAPELL COLLEGE OF JEWISH STUDIES                               ,307,0,1,1,$9.00 
11101778,LEIDEN UNIVERSITY                                                     ,307,0,3,3,$27.00 
11102678,GRADUATE INSTITUTE OF INTERNATIONAL STUDIES                           ,307,0,1,1,$9.00 
11102878,TEL AVIV UNIVERSITY                                                   ,307,0,15,15,$135.00 
11102978,UNIVERSITY OF BUCHAREST                                               ,307,0,2,2,$18.00 
11103178,NEW BULGARIAN UNIVERSITY                                              ,307,0,1,1,$9.00 
11103378,ST PETERSBURG STATE UNIVERSITY                                        ,307,0,1,1,$9.00 
11103478,CORVINUS UNIVERSITY OF BUDAPEST                                       ,307,0,1,1,$9.00 
11110078,BAR-ILAN UNIVERSITY                                                   ,307,0,4,4,$36.00 
11110178,UNIVERSITY OF HAIFA                                                   ,307,0,2,2,$18.00 
11179278,UNIVERSITY OF CADIZ                                                   ,307,0,1,1,$9.00 
11179678,SWISS TROP AND PUBL HEALT INST                                        ,307,0,1,1,$9.00 
11180478,THE UNIVERSITY OF PABLO DE OLAVIDE OF SEVILLE                         ,307,0,2,2,$18.00 
11200178,UNIVERSITY OF TARTU                                                   ,307,0,3,3,$27.00 
11200378,MAASTRICHT UNIVERSITY                                                 ,307,0,3,3,$27.00 
11200578,CALVARY CHAPEL BIBLE COLLEGE                                          ,307,0,2,2,$18.00 
11200678,ROSKILDE UNIVERSITY                                                   ,307,0,2,2,$18.00 
11200978,AALTO UNIVERSITY                                                      ,307,0,1,1,$9.00 
11201078,UNIVERSITY OF SALAMANCA                                               ,307,0,1,1,$9.00 
11300378,HOCHSCHULE LUZERN                                                     ,307,0,1,1,$9.00 
11400178,TALLINN UNIVERSITY OF TECHNOLOGY                                      ,307,0,1,1,$9.00 
11400378,NOORDERPOORT                                                          ,307,0,1,1,$9.00 
11400478,UNESCO-IHE INSTITUTE FOR WATER EDUCATION                              ,307,0,1,1,$9.00 
21000078,ARCHITECTURAL INSTITUTE PRAGUE                                        ,307,0,1,1,$9.00 
21000478,ISTANBUL BILGI UNIVERSITY                                             ,307,0,1,1,$9.00 
21100278,UNIVERSIDAD SAN JORGE                                                 ,307,0,1,1,$9.00 
21200078,EUROPEAN UNIVERSITY                                                   ,307,0,3,3,$27.00 
21200378,IED - MADRID                                                          ,307,0,1,1,$9.00 
21200578,INSTITUTO ECONOMIA DIGITAL                                            ,307,0,1,1,$9.00 
31000178,ANGLO-AMERICAN UNIVERSITY                                             ,307,0,3,3,$27.00 
31000378,COPENHAGEN BUSINESS SCHOOL                                            ,307,0,1,1,$9.00 
31000478,INTERNATIONAL BUSINESS SCHOOL                                         ,307,0,1,1,$9.00 
31000778,RAPHAEL RECANATI INTERNATIONAL SCHOOL                                 ,307,0,6,6,$54.00 
31001178,IE BUSINESS SCHOOL                                                    ,307,0,11,11,$99.00 
31001378,AMERICAN UNIVERSITY OF KUWAIT                                         ,307,0,1,1,$9.00 
31001478,NYENRODE BUSINESS UNIVERSITY                                          ,307,0,2,2,$18.00 
31001578,SBS SWISS BUSINESS SCHOOL                                             ,307,0,1,1,$9.00 
31003578,IESE BUSINESS SCHOOL                                                  ,307,0,1,1,$9.00 
31105078,ESADE BUSINESS SCHOOL                                                 ,307,0,1,1,$9.00 
31110578,FRANKLIN UNIVERSITY SWITZERLAND                                       ,307,0,2,2,$18.00 
31111178,UNIVERSITY OF NEW YORK IN PRAGUE                                      ,307,0,18,18,$162.00 
31111478,UNIV DE LES ILLES BALEARS-UIB                                         ,307,0,1,1,$9.00 
31177778,HAN UNIVERSITY OF APPLIED SCIENCES                                    ,307,0,1,1,$9.00 
31177878,AMERICAN UNIVERSITY IN BULGARIA                                       ,307,0,1,1,$9.00 
31177978,INTERNATIONAL UNIV IN GENEVA                                          ,307,0,1,1,$9.00 
31180478,BILKENT UNIVERSITY                                                    ,307,0,2,2,$18.00 
31200378,KODOLANYI JANOS UNIVERSITY                                            ,307,0,1,1,$9.00 
31300078,BARCELONA GRADUATE SCHOOL OF ECONOMICS                                ,307,0,1,1,$9.00 
31300378,LA SALLE-RAMON LLULL UNIVERSITY                                       ,307,0,1,1,$9.00 
31300578,NACHALEI DAAS TORAH CENTER                                            ,307,0,1,1,$9.00 
31800078,AMERICAN UNIVERSITY-BOSNIA                                            ,307,0,1,1,$9.00 
11000179,AMERICAN GRADUATE SCHOOL IN PARIS                                     ,307,0,3,3,$27.00 
11000479,HEC PARIS SCHOOL OF MANAGEMENT                                        ,307,0,1,1,$9.00 
11100279,INSTITUT D'ETUDES POLITIQUES DE PARIS                                 ,307,0,5,5,$45.00 
11100979,MINES PARISTECH GRADUATE SCHOOL                                       ,307,0,1,1,$9.00 
21000279,AMERICAN BUSINESS SCHOOL                                              ,307,0,1,1,$9.00 
21100179,INTERNATIONAL FASHION ACADEMY                                         ,307,0,3,3,$27.00 
21100279,L'ECOLE DE LA MAILLE DE PARIS                                         ,307,0,1,1,$9.00 
21100479,INSEEC EXECUTIVE                                                      ,307,0,3,3,$27.00 
21100579,L'INSTITUT SUPERIEUR DES ARTS APPLIQUES                               ,307,0,1,1,$9.00 
31000279,EICAR-THE INTL FILM SCH OF PARIS                                      ,307,0,1,1,$9.00 
31000879,AMERICAN UNIVERSITY OF PARIS                                          ,307,0,23,23,$207.00 
31000979,EUROPEAN INSTITUTE OF BUSINESS ADMINISTRATION                         ,307,0,3,3,$27.00 
31001079,UNIVERSITY OF MONACO                                                  ,307,0,1,1,$9.00 
31001179,INTERNATIONAL SPACE UNIVERSITY                                        ,307,0,1,1,$9.00 
31111679,GRENOBLE ECOLE DE MANAGEMENT                                          ,307,0,4,4,$36.00 
31200179,EVANGELICAL THEOLOGICAL SEMINARY                                      ,307,0,1,1,$9.00 
31200379,EDHEC BUSINESS SCHOOL                                                 ,307,0,1,1,$9.00 
34000179,INTERNATIONAL SCHOOL OF MANAGEMENT                                    ,307,0,1,1,$9.00 
11000680,UNIVERSITY OF COLOGNE                                                 ,307,0,2,2,$18.00 
11001380,UNIVERSITY OF APPLIED SCIENCES                                        ,307,0,2,2,$18.00 
11100280,UNIVERSITAT BAYREUTH                                                  ,307,0,1,1,$9.00 
11100780,TECHNISCHE UNIVERSITAT MUNCHEN                                        ,307,0,2,2,$18.00 
11101080,TECHNISCHE HOCHSCHULE MITTELHESSEN                                    ,307,0,1,1,$9.00 
11101380,JOHANNES GUTENBERG-UNIV MAINZ                                         ,307,0,1,1,$9.00 
11101780,GOETHE UNIVERSITY FRANKFURT                                           ,307,0,2,2,$18.00 
