Facility code,Name of institution,State,Country, Number of trainees ,Profit status,Type of payment,Tuition and Fees Cost, Number of payments 
31010231,Wayland Baptist University,New Mexico,, 31 ,Private non-profit,School Tuition & Fees,"$161,408.26", 87 
31010230,Southern Illinois University-Carbondale,New Jersey,, 3 ,Private non-profit,School Tuition & Fees,"$13,685.13", 11 
31010211,Savannah College Of Art And Design-Savannah,Georgia,, 340 ,Private non-profit,School Tuition & Fees,"$4,845,576.58", 577 
31010205,Culinary Institute Of America-St Helena,California,, 35 ,Private non-profit,School Tuition & Fees,"$598,329.77", 56 
31010149,Bellin College,Wisconsin,, 7 ,Private non-profit,School Tuition & Fees,"$135,312.67", 11 
31010140,Embry-Riddle Aeronautical University-Shaw Afb,South Carolina,, 13 ,Private non-profit,School Tuition & Fees,"$40,398.00", 24 
31010130,Central Michigan University Joint Base Mcguire-Dix-Lakehurst,New Jersey,, 17 ,Private non-profit,School Tuition & Fees,"$49,502.40", 54 
31010049,Alverno College,Wisconsin,, 28 ,Private non-profit,School Tuition & Fees,"$339,208.62", 53 
31010040,Webster University-Greenville Campus,South Carolina,, 9 ,Private non-profit,School Tuition & Fees,"$42,278.00", 28 
31010030,Wilmington University,New Jersey,, 94 ,Private non-profit,School Tuition & Fees,"$271,851.10", 216 
31009949,Marian University,Wisconsin,, 41 ,Private non-profit,School Tuition & Fees,"$368,028.25", 96 
31009940,Park University,South Carolina,, 116 ,Private non-profit,School Tuition & Fees,"$521,577.28", 351 
31009905,Acupuncture And Integrative Medicine College-Berkeley,California,, 1 ,Private non-profit,School Tuition & Fees,"$5,253.50", 2 
31009849,Viterbo University,Wisconsin,, 52 ,Private non-profit,School Tuition & Fees,"$280,618.96", 134 
31009846,Fredericksburg Bible Institute & Seminary,Virginia,, 1 ,Private non-profit,School Tuition & Fees,"$3,005.00", 1 
31009833,Webster University-Ft Bragg,North Carolina,, 122 ,Private non-profit,School Tuition & Fees,"$317,354.44", 260 
31009749,Edgewood College,Wisconsin,, 82 ,Private non-profit,School Tuition & Fees,"$1,036,285.00", 215 
31009743,St Mary'S University,Texas,, 158 ,Private non-profit,School Tuition & Fees,"$2,486,913.31", 340 
31009740,Webster University-Ft Jackson Campus,South Carolina,, 110 ,Private non-profit,School Tuition & Fees,"$419,950.77", 266 
31009649,Wisconsin School Of Professional Psychology,Wisconsin,, 1 ,Private non-profit,School Tuition & Fees,"$12,700.00", 1 
31009642,Crown College Of The Bible,Tennessee,, 27 ,Private non-profit,School Tuition & Fees,"$152,909.62", 46 
31009621,Blessed John Xxiii National Seminary,Massachusetts,, 7 ,Private non-profit,School Tuition & Fees,"$109,626.60", 12 
31009611,New Orleans Baptist Theological Seminary,Georgia,, 6 ,Private non-profit,School Tuition & Fees,"$10,586.00", 8 
31009525,Calvary Bible College And Theological Seminary,Missouri,, 10 ,Private non-profit,School Tuition & Fees,"$75,575.92", 22 
31009505,Summit Bible College,California,, 3 ,Private non-profit,School Tuition & Fees,"$6,406.31", 4 
31009442,Baptist Memorial College Of Health Sciences,Tennessee,, 17 ,Private non-profit,School Tuition & Fees,"$169,058.45", 55 
31009432,Albany College Of Pharmacy,New York,, 6 ,Private non-profit,School Tuition & Fees,"$85,896.03", 7 
31009421,New England Law-Boston,Massachusetts,, 8 ,Private non-profit,School Tuition & Fees,"$87,613.36", 9 
31009405,University Of The West,California,, 1 ,Private non-profit,School Tuition & Fees,"$2,971.80", 2 
31009332,Albany Medical College,New York,, 5 ,Private non-profit,School Tuition & Fees,"$51,405.03", 8 
31009243,Paul Quinn College,Texas,, 10 ,Private non-profit,School Tuition & Fees,"$51,955.18", 13 
31009242,Belhaven University-Chattanooga,Tennessee,, 14 ,Private non-profit,School Tuition & Fees,"$67,343.40", 83 
31009240,Webster University Beaufort Naval Hospital,South Carolina,, 11 ,Private non-profit,School Tuition & Fees,"$20,308.50", 18 
31009233,Gardner-Webb University,North Carolina,, 77 ,Private non-profit,School Tuition & Fees,"$740,371.14", 153 
31009092,Fundacion Univ Luis Amigo,South American Countries,, 4 ,Private non-profit,School Tuition & Fees,"$31,193.64", 10 
31009063,Universidad Adventista De Las Antillas,Puerto Rico,, 9 ,Private non-profit,School Tuition & Fees,"$34,843.03", 16 
31009049,Milwaukee Institute Of Art & Design,Wisconsin,, 10 ,Private non-profit,School Tuition & Fees,"$85,316.60", 17 
31009038,Wilkes University,Pennsylvania,, 33 ,Private non-profit,School Tuition & Fees,"$201,793.90", 73 
31009029,Colby-Sawyer College,New Hampshire,, 9 ,Private non-profit,School Tuition & Fees,"$88,086.60", 15 
31008942,Webster University,Tennessee,, 46 ,Private non-profit,School Tuition & Fees,"$193,382.32", 114 
31008906,Columbia College,Colorado,, 59 ,Private non-profit,School Tuition & Fees,"$183,090.41", 157 
31008842,Park University-Millington,Tennessee,, 105 ,Private non-profit,School Tuition & Fees,"$432,925.93", 296 
