Facility Code,Name of Institution,State,Country,Number of Trainees,Profit Status,Type of Payment,Tuition and Fees Cost,Number of payments
XXXXXXXX,Unknown,,UNKNOWN,"5,130",Unknown,School Tuition & Fees,"$27,264,756.60","11,948"
35P12338,Premier Barber Institute Aka The West Chester School Of Barbering,Pennsylvania,,1,Private non-profit,School Tuition & Fees,"$13,432.50",1
349H9635,Lakewood College,Ohio,,34,Private non-profit,School Tuition & Fees,"$135,382.85",47
349E8443,Commonwealth Inst Of Funeral Svc,Texas,,5,Private non-profit,School Tuition & Fees,"$13,470.00",6
349E4435,Ohio College Of Massotherapy,Ohio,,1,Private non-profit,School Tuition & Fees,"$1,903.50",1
349D2438,Manor College,Pennsylvania,,17,Private non-profit,School Tuition & Fees,"$177,292.56",35
349C9438,Rosedale Technical Institute Inc,Pennsylvania,,60,Private non-profit,School Tuition & Fees,"$639,336.36",125
349C7443,Dallas Institute Of Funeral Service,Texas,,9,Private non-profit,School Tuition & Fees,"$67,711.93",23
349B7410,Health Career Institute,Florida,,9,Private non-profit,School Tuition & Fees,"$51,375.00",20
32A01132,Finger Lakes Health College Of Nursing (Geneva General Hospital),New York,,4,Private non-profit,School Tuition & Fees,"$30,878.31",8
32A01032,Montefiore Medical Center,New York,,1,Private non-profit,School Tuition & Fees,"$19,198.31",1
32A00832,Crouse Hospital College Of Nursing,New York,,3,Private non-profit,School Tuition & Fees,"$19,712.00",5
31P32139,Johnson And Wales University Graduate School,Rhodes Island,,1,Private non-profit,School Tuition & Fees,"$9,288.00",1
319Z1138,Widener University,Pennsylvania,,53,Private non-profit,School Tuition & Fees,"$581,992.82",91
319M1143,St Edwards University,Texas,,159,Private non-profit,School Tuition & Fees,"$2,616,164.16",490
319K9143,Parker University,Texas,,45,Private non-profit,School Tuition & Fees,"$499,725.56",76
319K3143,Austin Presbyterian Theo Seminary,Texas,,6,Private non-profit,School Tuition & Fees,"$38,786.00",13
319K2143,Embry Riddle Aeronautical Univ Corpus Christi,Texas,,104,Private non-profit,School Tuition & Fees,"$415,688.00",247
319H7143,Our Lady Of The Lake University,Texas,,222,Private non-profit,School Tuition & Fees,"$2,277,533.25",430
319H2143,Howard Payne University,Texas,,43,Private non-profit,School Tuition & Fees,"$537,538.03",64
319G4143,Southern Methodist University,Texas,,200,Private non-profit,School Tuition & Fees,"$3,136,304.99",357
319F9443,Dallas Christian College,Texas,,15,Private non-profit,School Tuition & Fees,"$153,067.52",83
319F7243,Criswell College,Texas,,16,Private non-profit,School Tuition & Fees,"$92,976.90",34
319F1143,Southwestern Baptist Theological Seminary,Texas,,84,Private non-profit,School Tuition & Fees,"$478,274.16",210
319E7143,Baylor College Of Medicine,Texas,,5,Private non-profit,School Tuition & Fees,"$34,678.48",6
319E5143,Southwestern Adventist University,Texas,,13,Private non-profit,School Tuition & Fees,"$187,773.93",24
319D4132,Keuka College,New York,,54,Private non-profit,School Tuition & Fees,"$499,105.46",189
319D3132,New York University Polytechnic School Of Engineering,New York,,39,Private non-profit,School Tuition & Fees,"$796,431.51",60
319D2132,Metropolitan College Of New York,New York,,92,Private non-profit,School Tuition & Fees,"$1,092,053.67",169
319D1132,The New School,New York,,79,Private non-profit,School Tuition & Fees,"$1,449,323.02",135
319D0132,Ithaca College,New York,,47,Private non-profit,School Tuition & Fees,"$902,771.82",51
319C9132,Paul Smith'S College,New York,,42,Private non-profit,School Tuition & Fees,"$482,636.04",65
319C8132,The Sage Colleges,New York,,42,Private non-profit,School Tuition & Fees,"$466,059.20",69
319C6132,Manhattan School Of Music,New York,,2,Private non-profit,School Tuition & Fees,"$20,773.31",2
319C5132,Marymount Manhattan College,New York,,23,Private non-profit,School Tuition & Fees,"$306,339.75",46
319C4132,New York College Of Health Professions,New York,,19,Private non-profit,School Tuition & Fees,"$157,632.78",40
319C3132,Mount Saint Mary College,New York,,110,Private non-profit,School Tuition & Fees,"$1,108,497.70",419
319C2132,Wagner College,New York,,14,Private non-profit,School Tuition & Fees,"$171,764.10",22
319B8132,College Of Mount Saint Vincent,New York,,14,Private non-profit,School Tuition & Fees,"$161,549.07",20
319B6132,Canisius College,New York,,90,Private non-profit,School Tuition & Fees,"$967,149.87",145
319B5132,New York Medical College,New York,,16,Private non-profit,School Tuition & Fees,"$178,128.79",28
319B4143,Southwestern Christian College,Texas,,3,Private non-profit,School Tuition & Fees,"$15,989.00",5
319B3132,Davis College,New York,,1,Private non-profit,School Tuition & Fees,"$6,320.00",1
319B2138,Saint Joseph'S University,Pennsylvania,,117,Private non-profit,School Tuition & Fees,"$978,909.08",360
319B2110,Trinity College Of Florida,Florida,,14,Private non-profit,School Tuition & Fees,"$83,297.60",59
319A8138,York College Of Pennsylvania,Pennsylvania,,99,Private non-profit,School Tuition & Fees,"$1,151,573.09",210
319A7138,Pennsylvania College Of Art And Design,Pennsylvania,,7,Private non-profit,School Tuition & Fees,"$77,411.15",10
319A6138,Point Park University,Pennsylvania,,130,Private non-profit,School Tuition & Fees,"$1,627,739.70",311
319A5138,Pennsylvania Academy Of The Fine Arts,Pennsylvania,,6,Private non-profit,School Tuition & Fees,"$82,825.28",10
319A4138,Chestnut Hill College,Pennsylvania,,38,Private non-profit,School Tuition & Fees,"$506,686.88",96
319A3138,Keystone College,Pennsylvania,,37,Private non-profit,School Tuition & Fees,"$345,704.58",74
319A2138,Evangelical Theological Seminary,Pennsylvania,,3,Private non-profit,School Tuition & Fees,"$35,848.00",10
319A2110,New Orleans Baptist Theological Seminary - Orlando,Florida,,8,Private non-profit,School Tuition & Fees,"$11,585.00",16
319A0138,Peirce College,Pennsylvania,,74,Private non-profit,School Tuition & Fees,"$568,801.88",213
318Z0032,New York Institute Of Technology - New York City,New York,,82,Private non-profit,School Tuition & Fees,"$1,239,913.65",150
28P01232,"The Academy Of Cosmetology & Esthetics, Nyc, Llc",New York,,1,Private profit,School Tuition & Fees,"$16,410.81",1
25P84338,"Empire Beauty School, Springfield",Pennsylvania,,3,Private profit,School Tuition & Fees,"$24,735.57",3
25P42538,Aaa School Of Trucking Inc.,Pennsylvania,,5,Private profit,School Tuition & Fees,"$24,200.00",5
25P32138,Lititz Watch Technicum,Pennsylvania,,1,Private profit,School Tuition & Fees,"$3,780.00",1
25P21438,Everest Institute,Pennsylvania,,2,Private profit,School Tuition & Fees,"$23,864.19",14
25P20138,New Horizons Computer Learning Center Of Reading,Pennsylvania,,1,Private profit,School Tuition & Fees,"$10,500.00",1
25P13838,Carbondale Barber School,Pennsylvania,,1,Private profit,School Tuition & Fees,"$12,000.00",1
25P01732,Ace Institute Of Technology - Manhattan,New York,,12,Private profit,School Tuition & Fees,"$84,414.86",17
25P00132,"Heritage Flight Academy, Llc",New York,,3,Private profit,School Tuition & Fees,"$4,394.20",3
25M00138,Aviation Certification & Education Solutions Inc. D/B/A Aces Aviation,Pennsylvania,,1,Private profit,School Tuition & Fees,"$1,680.95",1
24P32238,Itt Technical Institute Philadelphia,Pennsylvania,,26,Private profit,School Tuition & Fees,"$317,715.25",63
249M5543,School Of Automotive Machinists,Texas,,81,Private profit,School Tuition & Fees,"$1,401,582.23",107
249M3543,Anthem College,Texas,,17,Private profit,School Tuition & Fees,"$139,488.44",86
249M3443,Culinary Inst Of Amer San Antonio,Texas,,33,Private profit,School Tuition & Fees,"$556,844.95",53
249M3343,Quest College,Texas,,20,Private profit,School Tuition & Fees,"$270,076.03",27
249M2343,The College Of Health Care Professions Austin,Texas,,29,Private profit,School Tuition & Fees,"$290,128.41",34
249L9143,Platt College,Texas,,1,Private profit,School Tuition & Fees,$871.00,1
249L8143,Kaplan College Fort Worth,Texas,,18,Private profit,School Tuition & Fees,"$131,639.58",62
249L7143,Sanford Brown College Dallas,Texas,,35,Private profit,School Tuition & Fees,"$344,240.16",199
249K8143,Allied Health Careers,Texas,,5,Private profit,School Tuition & Fees,"$58,082.81",16
249K6143,Galen College Of Nursing,Texas,,179,Private profit,School Tuition & Fees,"$1,771,425.28",466
249K1143,International Business College Cromo,Texas,,14,Private profit,School Tuition & Fees,"$147,445.62",68
249K0143,Career Point College,Texas,,83,Private profit,School Tuition & Fees,"$1,179,161.61",136
249J9143,Culinary Institute Lenotre,Texas,,33,Private profit,School Tuition & Fees,"$407,549.93",96
249J8143,Vet Tech Institute Of Houston,Texas,,30,Private profit,School Tuition & Fees,"$356,706.24",108
249J5143,International Business College Zaragosa,Texas,,14,Private profit,School Tuition & Fees,"$145,562.72",49
249J2143,Kaplan College Dallas,Texas,,27,Private profit,School Tuition & Fees,"$193,221.64",66
249J0143,The College Of Healthcare Professions Nw,Texas,,40,Private profit,School Tuition & Fees,"$449,055.14",58
249H9935,Hondros College - Independence,Ohio,,6,Private profit,School Tuition & Fees,"$25,761.86",8
249H7435,American Institute Of Alternative Medicine,Ohio,,8,Private profit,School Tuition & Fees,"$73,754.67",70
249H4435,Miami-Jacobs Career College - Sharonville,Ohio,,12,Private profit,School Tuition & Fees,"$90,589.75",30
249H3435,National College-Willoughby Hills,Ohio,,2,Private profit,School Tuition & Fees,"$20,631.60",8
249G8435,Sanford Brown College - Middleburg Heights,Ohio,,17,Private profit,School Tuition & Fees,"$177,972.80",95
249G7435,Daymar College,Ohio,,12,Private profit,School Tuition & Fees,"$109,191.02",31
249G7143,Vista College-El Paso,Texas,,254,Private profit,School Tuition & Fees,"$2,955,756.49","1,300"
249G6435,Galen College Of Nursing,Ohio,,21,Private profit,School Tuition & Fees,"$162,288.78",47
249G6143,Le Cordon Bleu College Of Culinary Arts-Austin,Texas,,128,Private profit,School Tuition & Fees,"$1,486,192.98",618
249G5435,Fortis College - Columbus,Ohio,,18,Private profit,School Tuition & Fees,"$212,307.41",75
249G4435,Fortis College - Cincinnati,Ohio,,24,Private profit,School Tuition & Fees,"$225,011.50",96
249G2435,National College-Kettering,Ohio,,13,Private profit,School Tuition & Fees,"$106,433.17",30
249F6435,Davis College,Ohio,,10,Private profit,School Tuition & Fees,"$110,141.33",27
249F5443,Center For Advanced Legal Studies,Texas,,16,Private profit,School Tuition & Fees,"$113,743.57",54
249F1435,Vatterott College - Broadview Heights,Ohio,,20,Private profit,School Tuition & Fees,"$198,321.50",64
249F1410,Virginia College - Ft Pierce,Florida,,1,Private profit,School Tuition & Fees,"$6,138.00",2
249F0435,Gallipolis Career College,Ohio,,1,Private profit,School Tuition & Fees,"$8,590.20",5
249F0410,Orlando Medical Institute,Florida,,25,Private profit,School Tuition & Fees,"$124,991.00",28
249E9410,Medtech Institute,Florida,,20,Private profit,School Tuition & Fees,"$250,500.22",87
249E8435,Fortis College - Cuyahoga Falls,Ohio,,18,Private profit,School Tuition & Fees,"$184,819.69",63
249E8410,National Aviation Academy,Florida,,322,Private profit,School Tuition & Fees,"$4,678,244.29",487
249E7410,Institute Of Technical Arts,Florida,,12,Private profit,School Tuition & Fees,"$131,652.48",21
249E4410,Dade Medical College-West Palm Beach,Florida,,2,Private profit,School Tuition & Fees,"$17,205.60",15
249E3543,Texas Vocational Schools,Texas,,4,Private profit,School Tuition & Fees,"$34,335.00",4
249E2438,Bucks County Sch Of Beauty Culture,Pennsylvania,,1,Private profit,School Tuition & Fees,"$3,266.50",1
249E2410,Ata Career Education,Florida,,12,Private profit,School Tuition & Fees,"$107,312.31",34
249E1438,Itt Technical Institute - Levittown,Pennsylvania,,50,Private profit,School Tuition & Fees,"$685,433.36",139
249E1410,Wyotech,Florida,,294,Private profit,School Tuition & Fees,"$3,730,732.79","1,000"
249E0438,Career Training Acad Pittsburgh,Pennsylvania,,1,Private profit,School Tuition & Fees,"$1,708.00",1
249E0435,"School Of Advertising Art, Inc.",Ohio,,1,Private profit,School Tuition & Fees,"$7,678.31",1
249E0410,Jersey College - Jacksonville,Florida,,9,Private profit,School Tuition & Fees,"$81,303.03",19
249D9438,Mccann School Of Business & Technology Dickson City,Pennsylvania,,9,Private profit,School Tuition & Fees,"$73,675.10",21
249D9410,Jersey College - Tampa,Florida,,17,Private profit,School Tuition & Fees,"$189,102.60",40
249D8638,Mccann School Of Bus & Tech (Wilkes Barre),Pennsylvania,,11,Private profit,School Tuition & Fees,"$71,825.70",23
249D8538,Mccann School Of Business & Technology - Carlisle,Pennsylvania,,22,Private profit,School Tuition & Fees,"$162,154.00",50
249D8438,Mccann School Of Bus & Tech (Sunbury),Pennsylvania,,23,Private profit,School Tuition & Fees,"$116,278.75",45
249D6438,Dubois Business College-Oil City,Pennsylvania,,2,Private profit,School Tuition & Fees,"$18,750.00",5
249D6410,Meridian College,Florida,,3,Private profit,School Tuition & Fees,"$52,508.89",14
249D5410,Ultimate Medical Academy - Online,Florida,,378,Private profit,School Tuition & Fees,"$3,316,428.62","2,137"
249D4438,Dubois Business College-Huntingdon,Pennsylvania,,2,Private profit,School Tuition & Fees,"$15,813.00",8
249D4435,Ohio Technical College,Ohio,,192,Private profit,School Tuition & Fees,"$2,368,191.08",521
249D4410,Allied Health Institute,Florida,,21,Private profit,School Tuition & Fees,"$148,499.71",147
249D3410,Taylor College,Florida,,6,Private profit,School Tuition & Fees,"$46,290.00",12
249D2410,Fortis Institute - Pensacola,Florida,,125,Private profit,School Tuition & Fees,"$1,202,420.69",458
249D1438,Fortis Institute - Forty Fort,Pennsylvania,,19,Private profit,School Tuition & Fees,"$228,173.00",46
249D1410,Ultimate Medical Academy-Clw,Florida,,13,Private profit,School Tuition & Fees,"$72,498.39",50
249D0410,Concorde Career Institute- Orlando,Florida,,38,Private profit,School Tuition & Fees,"$429,233.76",161
249D0238,Sanford Brown Institute Withdrawn,Pennsylvania,,2,Private profit,School Tuition & Fees,"$7,006.16",4
249D0138,Mccann School Of Business And Technology Allentown,Pennsylvania,,22,Private profit,School Tuition & Fees,"$152,528.72",52
249C9410,Aviator College Of Aeronautical Science & Technology,Florida,,11,Private profit,School Tuition & Fees,"$186,897.90",20
249C8438,Pennsylvania Institute Of Health & Technology,Pennsylvania,,2,Private profit,School Tuition & Fees,"$10,487.50",5
249C8410,Concorde Career Institute - Tampa,Florida,,38,Private profit,School Tuition & Fees,"$430,764.68",142
249C7410,Southeastern College - Jacksonville,Florida,,50,Private profit,School Tuition & Fees,"$515,648.49",309
249C6443,Western Technical College,Texas,,273,Private profit,School Tuition & Fees,"$2,570,963.50","1,609"
249C6438,Pittsburgh Technical Institute,Pennsylvania,,125,Private profit,School Tuition & Fees,"$1,573,039.84",358
249C6435,Stautzenberger College - Toledo,Ohio,,18,Private profit,School Tuition & Fees,"$129,133.07",61
249C6410,Ultimate Medical Academy - Tampa,Florida,,63,Private profit,School Tuition & Fees,"$429,421.05",272
249C5410,Florida Medical Training Institute - Doral,Florida,,11,Private profit,School Tuition & Fees,"$62,568.76",20
249C4438,Wyoming Technical Institute  Aka  Wyotech,Pennsylvania,,418,Private profit,School Tuition & Fees,"$5,812,453.53","1,351"
249C4435,Professional Skills Institute,Ohio,,7,Private profit,School Tuition & Fees,"$35,461.50",12
249C4410,American Medical Academy,Florida,,15,Private profit,School Tuition & Fees,"$85,098.65",17
249C3435,Antonelli College,Ohio,,11,Private profit,School Tuition & Fees,"$87,134.21",23
249C3410,Concorde Career Institute - Miramar,Florida,,19,Private profit,School Tuition & Fees,"$171,684.80",47
249C1410,Sanford Brown Institute-Tampa,Florida,,15,Private profit,School Tuition & Fees,"$128,898.36",69
249C0443,Western Tech College El Paso,Texas,,127,Private profit,School Tuition & Fees,"$892,890.85",779
249C0438,Itt Technical Institute Tarentum,Pennsylvania,,43,Private profit,School Tuition & Fees,"$605,827.43",130
249C0435,"Eti Technical College, Niles",Ohio,,13,Private profit,School Tuition & Fees,"$119,727.30",30
249B9438,Itt Technical Institute - Harrisburg,Pennsylvania,,45,Private profit,School Tuition & Fees,"$679,090.01",140
249B9410,Sanford Brown Institute - Ft Lauderdale,Florida,,32,Private profit,School Tuition & Fees,"$309,894.72",139
249B8438,Career Training Aca New Kensington,Pennsylvania,,8,Private profit,School Tuition & Fees,"$55,803.96",50
249B8410,College Of Business And Technology-Hialeah,Florida,,2,Private profit,School Tuition & Fees,"$12,251.71",5
249B7438,Laurel Technical Institute (Meadville Campus),Pennsylvania,,8,Private profit,School Tuition & Fees,"$103,094.04",21
249B6438,Prism Career Institute,Pennsylvania,,1,Private profit,School Tuition & Fees,"$16,386.00",2
249B6410,College Of Business And Technology - Flagler,Florida,,9,Private profit,School Tuition & Fees,"$113,731.61",39
249B5410,Fortis College - Miami,Florida,,1,Private profit,School Tuition & Fees,"$8,305.00",2
249B4438,The Art Institute Of York Pennsylvania,Pennsylvania,,20,Private profit,School Tuition & Fees,"$239,828.52",52
249B4432,Professional Business College,New York,,1,Private profit,School Tuition & Fees,"$11,766.00",3
249B3443,The Art Institute Of Houston,Texas,,328,Private profit,School Tuition & Fees,"$2,575,807.88",970
249B3432,Mandl School,New York,,13,Private profit,School Tuition & Fees,"$166,256.91",24
249B3410,Concorde Career Institute - Jacksonville,Florida,,94,Private profit,School Tuition & Fees,"$1,121,621.00",224
249B2438,Keystone Technical Institute,Pennsylvania,,30,Private profit,School Tuition & Fees,"$241,529.26",65
249B2410,Fortis Institute - Miami,Florida,,3,Private profit,School Tuition & Fees,"$34,678.70",9
249B1410,Fortis Institute - Ft Lauderdale,Florida,,13,Private profit,School Tuition & Fees,"$155,331.71",42
249B0438,Itt Technical Institute Pittsburgh,Pennsylvania,,49,Private profit,School Tuition & Fees,"$675,634.90",141
249B0432,Plaza College,New York,,8,Private profit,School Tuition & Fees,"$114,482.63",20
249B0410,Key College,Florida,,5,Private profit,School Tuition & Fees,"$26,643.00",14
249B0038,Itt Technical Institute - Dunmore,Pennsylvania,,28,Private profit,School Tuition & Fees,"$394,840.46",94
249A9410,Sanford Brown Institute-Jacksonville Campus,Florida,,63,Private profit,School Tuition & Fees,"$618,560.89",251
249A8438,Vet Tech Institute,Pennsylvania,,19,Private profit,School Tuition & Fees,"$200,218.12",65
249A8410,Mattia College,Florida,,5,Private profit,School Tuition & Fees,"$51,300.00",9
249A7410,Le Cordon Bleu College Of Culinary Arts-Miami,Florida,,55,Private profit,School Tuition & Fees,"$643,625.50",274
249A6410,Florida Medical Training Institute-Melbourne,Florida,,37,Private profit,School Tuition & Fees,"$188,184.41",55
249A5435,Fortis College - Ravenna,Ohio,,11,Private profit,School Tuition & Fees,"$113,468.30",41
249A5410,Cambridge Institute Of Allied Health & Technology - Delray Bch,Florida,,3,Private profit,School Tuition & Fees,"$37,676.91",6
249A4438,Sanford Brown Institute,Pennsylvania,,3,Private profit,School Tuition & Fees,"$6,177.59",5
249A3410,Daytona College,Florida,,5,Private profit,School Tuition & Fees,"$48,657.20",13
249A2438,Fortis Institute,Pennsylvania,,65,Private profit,School Tuition & Fees,"$557,869.96",299
249A2410,Galen College Of Nursing,Florida,,52,Private profit,School Tuition & Fees,"$442,272.42",121
249A1438,Erie Business Center/South (New Castle),Pennsylvania,,4,Private profit,School Tuition & Fees,"$25,440.10",10
249A1410,Heritage Institute - Jacksonville,Florida,,73,Private profit,School Tuition & Fees,"$638,251.60",350
249A0438,Bradford School,Pennsylvania,,6,Private profit,School Tuition & Fees,"$32,595.49",10
249A0432,New York Career Institute,New York,,12,Private profit,School Tuition & Fees,"$75,330.00",19
249A0410,Heritage Institute - Ft Myers,Florida,,31,Private profit,School Tuition & Fees,"$220,994.52",113
219M4543,The Art Institute Of Dallas A Campus Of South University,Texas,,256,Private profit,School Tuition & Fees,"$2,031,287.37",546
219L6143,Vista College-Lubbock,Texas,,31,Private profit,School Tuition & Fees,"$275,057.79",92
219L4143,Kaplan College Corpus Christi,Texas,,20,Private profit,School Tuition & Fees,"$116,363.99",58
219L2143,Dallas Nursing Institute,Texas,,11,Private profit,School Tuition & Fees,"$101,319.00",15
219L1143,University Of Phoenix-Houston,Texas,,436,Private profit,School Tuition & Fees,"$3,368,936.98","2,335"
219L0143,University Of Phoenix-Dallas,Texas,,617,Private profit,School Tuition & Fees,"$4,760,159.22","3,430"
219D2110,Florida Career College - Tampa,Florida,,38,Private profit,School Tuition & Fees,"$307,403.90",230
219C8110,American College For Medical Careers,Florida,,14,Private profit,School Tuition & Fees,"$124,540.57",35
219C6110,Strayer University-Brickell Campus,Florida,,40,Private profit,School Tuition & Fees,"$271,141.65",86
219C5110,Jose Maria Vargas University,Florida,,1,Private profit,School Tuition & Fees,$900.00,1
219C4110,Rasmussen College - Tampa,Florida,,69,Private profit,School Tuition & Fees,"$645,073.34",183
219C2110,Strayer University - Doral Campus,Florida,,75,Private profit,School Tuition & Fees,"$612,947.61",182
219C1110,Strayer University - Miramar,Florida,,72,Private profit,School Tuition & Fees,"$405,643.45",149
219B6238,Strayer University - Allentown,Pennsylvania,,23,Private profit,School Tuition & Fees,"$99,955.00",45
219B6138,Devry University Pittsburgh,Pennsylvania,,56,Private profit,School Tuition & Fees,"$498,721.31",184
219B6110,Virginia College - Jacksonville,Florida,,150,Private profit,School Tuition & Fees,"$1,612,557.73",440
219B5138,Strayer University (Bucks County Campus),Pennsylvania,,40,Private profit,School Tuition & Fees,"$203,826.90",88
219B5110,Strayer University - Coral Springs,Florida,,45,Private profit,School Tuition & Fees,"$250,241.17",90
219B4238,Strayer University (Cc Campus),Pennsylvania,,56,Private profit,School Tuition & Fees,"$234,838.59",108
219B4138,Strayer University (Delaware Co. Campus),Pennsylvania,,25,Private profit,School Tuition & Fees,"$95,089.50",41
219B4110,Strayer University-Ft Lauderdale,Florida,,57,Private profit,School Tuition & Fees,"$336,537.39",114
219B3138,Devry University - King Of Prussia,Pennsylvania,,29,Private profit,School Tuition & Fees,"$159,719.22",67
219B3110,"Strayer University-Orlando, So Pk Cir",Florida,,102,Private profit,School Tuition & Fees,"$607,280.81",229
219B2538,Strayer University (King Of Prussia),Pennsylvania,,16,Private profit,School Tuition & Fees,"$51,943.71",28
219B2138,Devry University - Phila (Cc Campus),Pennsylvania,,75,Private profit,School Tuition & Fees,"$426,248.51",185
219B1138,Devry University - Ft Washington,Pennsylvania,,114,Private profit,School Tuition & Fees,"$861,069.65",328
219B1110,Lincoln College Of Technology,Florida,,69,Private profit,School Tuition & Fees,"$580,610.97",149
219B0138,Central Penn College  Aka Central Pennsylvania College,Pennsylvania,,85,Private profit,School Tuition & Fees,"$1,010,530.72",235
219B0110,Strayer University - Palm Beach Gardens,Florida,,53,Private profit,School Tuition & Fees,"$519,738.55",153
219A8110,Herzing University,Florida,,43,Private profit,School Tuition & Fees,"$440,339.80",202
219A6110,"Strayer University - Baymeadows Campus, Jacksonville",Florida,,107,Private profit,School Tuition & Fees,"$944,444.70",261
219A4110,Rasmussen College - Ft Myers,Florida,,45,Private profit,School Tuition & Fees,"$340,937.46",92
219A3110,Rasmussen College - Ocala Campus,Florida,,97,Private profit,School Tuition & Fees,"$899,071.04",264
219A1110,Rasmussen College - Pasco County Campus,Florida,,76,Private profit,School Tuition & Fees,"$759,553.79",197
218A0232,Briarcliffe College-Patchogue,New York,,59,Private profit,School Tuition & Fees,"$558,195.36",138
218A0132,Briarcliffe College-Bethpage,New York,,54,Private profit,School Tuition & Fees,"$648,621.80",139
218A0032,Bryant And Stratton College - (Amherst/Getzville),New York,,10,Private profit,School Tuition & Fees,"$87,712.99",17
158A0832,Boces Greater Southern Tier (Gst),New York,,4,Public,School Tuition & Fees,"$21,018.23",4
158A0432,Boces Rensselaer-Columbia-Greene Counties (Troy),New York,,2,Public,School Tuition & Fees,"$19,760.00",2
158A0332,"Ulster County Community College, Continuing Education",New York,,1,Public,School Tuition & Fees,$104.29,1
158A0232,Boces F. Donald Myers Education Center,New York,,5,Public,School Tuition & Fees,"$51,405.00",5
158A0132,"Wswhe Boces, Southern Adirondack Educational Center",New York,,6,Public,School Tuition & Fees,"$65,302.50",7
14P71638,Lancaster County Career & Tech Center (Willow Street),Pennsylvania,,6,Public,School Tuition & Fees,"$29,000.90",7
149M0143,Eastfield College Mesquite,Texas,,376,Public,School Tuition & Fees,"$339,750.68",943
149K4143,Richland College,Texas,,395,Public,School Tuition & Fees,"$323,539.53",942
149J3143,Texas State Technical College Marshall,Texas,,24,Public,School Tuition & Fees,"$49,336.90",30
149J1143,Central Texas College Europe,Texas,,50,Public,School Tuition & Fees,"$105,941.70",149
149H9143,Northwest Vista College,Texas,,"1,355",Public,School Tuition & Fees,"$1,437,460.54","2,913"
149H5143,Vernon College,Texas,,157,Public,School Tuition & Fees,"$434,365.89",365
149H4143,Central Texas College -Pac Far East,Texas,,83,Public,School Tuition & Fees,"$189,408.09",203
149G8143,El Paso Community Coll Dist,Texas,,"1,047",Public,School Tuition & Fees,"$1,583,499.00","2,604"
149G5143,Odessa College,Texas,,78,Public,School Tuition & Fees,"$127,983.90",205
149G4143,Galveston College,Texas,,94,Public,School Tuition & Fees,"$135,833.52",238
149F4443,South Texas College,Texas,,362,Public,School Tuition & Fees,"$825,732.59",875
149F3443,Collin County Community College,Texas,,805,Public,School Tuition & Fees,"$728,739.94","2,125"
149E9435,Marion Technical College,Ohio,,33,Public,School Tuition & Fees,"$88,252.30",57
149E7435,Edison State Community College,Ohio,,90,Public,School Tuition & Fees,"$185,184.46",208
149E6435,Owens Community College,Ohio,,201,Public,School Tuition & Fees,"$551,046.13",431
149E5438,Community College Of Philadelphia,Pennsylvania,,288,Public,School Tuition & Fees,"$967,104.59",687
149E5435,Columbus State Community College,Ohio,,559,Public,School Tuition & Fees,"$948,826.23",874
149E4443,College Of The Mainland,Texas,,158,Public,School Tuition & Fees,"$227,018.52",379
149E2443,North Lake College,Texas,,349,Public,School Tuition & Fees,"$287,833.40",840
149E2435,Central Ohio Technical College,Ohio,,137,Public,School Tuition & Fees,"$434,541.91",329
149E1435,James A. Rhodes State College,Ohio,,68,Public,School Tuition & Fees,"$170,560.14",175
149D9435,Washington State Community College,Ohio,,36,Public,School Tuition & Fees,"$129,679.56",62
149D7435,Stark State College,Ohio,,210,Public,School Tuition & Fees,"$432,320.93",526
149D5438,Butler County Community College,Pennsylvania,,111,Public,School Tuition & Fees,"$337,612.51",214
149D2435,Zane State College,Ohio,,68,Public,School Tuition & Fees,"$178,964.60",191
149C4438,Bucks County Community College,Pennsylvania,,214,Public,School Tuition & Fees,"$768,346.50",521
149C1443,San Jacinto Community College District,Texas,,884,Public,School Tuition & Fees,"$1,446,328.20","2,103"
149B5435,North Central State College,Ohio,,61,Public,School Tuition & Fees,"$168,860.21",116
149B4432,North Country Community College,New York,,29,Public,School Tuition & Fees,"$119,585.75",50
149B3438,Pennsylvania Highlands Community College,Pennsylvania,,35,Public,School Tuition & Fees,"$136,033.70",74
149B3432,Orange County Community College,New York,,276,Public,School Tuition & Fees,"$1,048,136.78",620
149B2432,Clinton Community College,New York,,40,Public,School Tuition & Fees,"$129,137.13",80
149B1432,Schenectady County Community College,New York,,118,Public,School Tuition & Fees,"$320,766.84",229
149A8443,Northeast Texas Community College,Texas,,57,Public,School Tuition & Fees,"$137,051.99",137
149A7432,Queensborough Community College,New York,,285,Public,School Tuition & Fees,"$967,414.42",655
149A6405,Woodland Community College,California,,9,Public,School Tuition & Fees,"$5,674.80",13
149A5432,Westchester Community College,New York,,145,Public,School Tuition & Fees,"$569,460.06",279
149A5405,Folsom Lake College,California,,189,Public,School Tuition & Fees,"$97,046.58",361
149A4405,West Valley College,California,,95,Public,School Tuition & Fees,"$41,803.57",181
149A3443,Brazosport College,Texas,,192,Public,School Tuition & Fees,"$420,121.49",485
149A3405,Copper Mountain College,California,,17,Public,School Tuition & Fees,"$9,782.40",26
149A2435,Northwest State Community College,Ohio,,47,Public,School Tuition & Fees,"$102,062.17",98
149A2405,Lassen Community College,California,,14,Public,School Tuition & Fees,"$7,741.41",28
149A1443,Lamar State College Port Arthur,Texas,,37,Public,School Tuition & Fees,"$92,001.85",71
