Facility Code,Name of Institution,State,Country,Number of Trainees,Profit Status,Type of Payment,Tuition and Fees Cost,Number of payments
11904447,Columbia Basin College,Washington,,196,Public,School Tuition & Fees,"$622,008.86",537
11904146,Norfolk State University,Virginia,,450,Public,School Tuition & Fees,"$2,265,354.97",850
11904133,Western Carolina University,North Carolina,,202,Public,School Tuition & Fees,"$894,180.88",381
11904132,Suny Institute Of Technology At Utica/Rome,New York,,46,Public,School Tuition & Fees,"$218,952.42",85
11904130,Thomas Edison State College (On Line School),New Jersey,,975,Public,School Tuition & Fees,"$3,937,919.88","2,092"
11904124,Mississippi University For Women,Mississippi,,50,Public,School Tuition & Fees,"$176,657.68",85
11904122,Ferris State University,Michigan,,298,Public,School Tuition & Fees,"$2,303,144.93",690
11904111,Georgia College & State University,Georgia,,66,Public,School Tuition & Fees,"$271,825.94",125
11904106,Colorado Mesa University,Colorado,,303,Public,School Tuition & Fees,"$1,736,100.20",914
11904105,San Francisco State University,California,,364,Public,School Tuition & Fees,"$1,584,266.11",708
11904102,University Of Alaska-Anchorage,Alaska,,"1,343",Public,School Tuition & Fees,"$5,448,049.07","3,215"
11903414,Indiana University Purdue University Indianapolis,Indiana,,598,Public,School Tuition & Fees,"$3,612,999.12","1,538"
11903214,Indiana University Purdue University At Fort Wayne,Indiana,,218,Public,School Tuition & Fees,"$1,074,203.68",407
11903146,Virginia State University,Virginia,,265,Public,School Tuition & Fees,"$1,447,689.14",532
11903134,Williston State College,North Dakota,,9,Public,School Tuition & Fees,"$22,988.15",17
11903133,University Of North Carolina School Of The Arts (Formerly Nc Sch. Of The Arts),North Carolina,,12,Public,School Tuition & Fees,"$61,177.15",12
11903132,John Jay College Criminal Justice,New York,,349,Public,School Tuition & Fees,"$1,573,932.72",710
11903130,Rowan University,New Jersey,,152,Public,School Tuition & Fees,"$1,234,561.96",326
11903124,Mississippi Valley State University,Mississippi,,23,Public,School Tuition & Fees,"$83,143.67",46
11903113,Northern Illinois University,Illinois,,330,Public,School Tuition & Fees,"$2,293,589.31",690
11903111,Savannah State University,Georgia,,146,Public,School Tuition & Fees,"$686,635.39",315
11903106,Metropolitan State University Of Denver,Colorado,,853,Public,School Tuition & Fees,"$4,516,742.07","1,886"
11903105,California State University-Chico,California,,236,Public,School Tuition & Fees,"$908,266.65",402
11903103,University Of Arizona,Arizona,,"1,131",Public,School Tuition & Fees,"$10,815,878.64","2,770"
11903020,Towson University,Maryland,,429,Public,School Tuition & Fees,"$2,593,711.45",892
11903014,University Of Southern Indiana,Indiana,,153,Public,School Tuition & Fees,"$743,000.04",381
11902614,Purdue University,Indiana,,317,Public,School Tuition & Fees,"$1,993,901.19",540
11902214,Indiana University Northwest,Indiana,,94,Public,School Tuition & Fees,"$366,167.93",230
11902134,Valley City State University,North Dakota,,13,Public,School Tuition & Fees,"$51,271.77",25
11902133,Winston Salem State University,North Carolina,,70,Public,School Tuition & Fees,"$257,858.36",148
11902132,Cuny College Of Staten Island,New York,,132,Public,School Tuition & Fees,"$669,634.48",325
11902130,Richard Stockton College Of New Jersey,New Jersey,,184,Public,School Tuition & Fees,"$1,723,811.35",376
11902123,Southwest Minnesota State University,Minnesota,,39,Public,School Tuition & Fees,"$161,119.03",64
11902118,University Of New Orleans,Louisiana,,257,Public,School Tuition & Fees,"$1,109,294.58",457
11902116,Pittsburg State University,Kansas,,128,Public,School Tuition & Fees,"$428,487.84",243
11902114,Indiana University At South Bend,Indiana,,149,Public,School Tuition & Fees,"$647,930.36",380
11902111,Southern Polytechnic State University,Georgia,,189,Public,School Tuition & Fees,"$977,801.34",492
11902105,University Of California Santa Cruz,California,,75,Public,School Tuition & Fees,"$756,379.49",210
11902104,University Of Arkansas-Fort Smith,Arkansas,,200,Public,School Tuition & Fees,"$606,890.24",404
11902044,Weber State University,Utah,,543,Public,School Tuition & Fees,"$2,040,982.71","1,222"
11901846,University Of Mary Washington,Virginia,,180,Public,School Tuition & Fees,"$949,152.81",258
11901226,Salish Kootenai College,Montana,,12,Public,School Tuition & Fees,"$35,255.30",24
11901217,University Of Louisville Medicine And Dentistry,Kentucky,,6,Public,School Tuition & Fees,"$119,849.45",10
11901215,University Of Phoenix West Des Moines,Iowa,,5,Public,School Tuition & Fees,"$30,535.85",17
11901148,Bluefield State College,West Virginia,,38,Public,School Tuition & Fees,"$145,417.96",61
11901136,Langston University,Oklahoma,,18,Public,School Tuition & Fees,"$54,881.80",31
11901133,University Of North Carolina @ Charlotte,North Carolina,,740,Public,School Tuition & Fees,"$3,720,391.03","1,638"
11901132,"Farmingdale State College, Suny",New York,,198,Public,School Tuition & Fees,"$1,381,252.76",439
11901131,Western New Mexico University,New Mexico,,60,Public,School Tuition & Fees,"$191,657.47",134
11901130,Montclair State University,New Jersey,,212,Public,School Tuition & Fees,"$1,833,976.00",483
11901129,Keene State College,New Hampshire,,63,Public,School Tuition & Fees,"$570,961.17",115
11901126,Montana State University-Northern,Montana,,56,Public,School Tuition & Fees,"$216,703.81",123
11901125,Lincoln University,Missouri,,73,Public,School Tuition & Fees,"$286,141.27",193
11901124,Alcorn State University,Mississippi,,35,Public,School Tuition & Fees,"$191,381.75",60
11901123,Minnesota State Univ      Moorhead,Minnesota,,106,Public,School Tuition & Fees,"$529,034.52",224
11901117,University Of Louisville,Kentucky,,564,Public,School Tuition & Fees,"$4,381,411.78","1,151"
11901115,Iowa State University,Iowa,,413,Public,School Tuition & Fees,"$2,228,166.09",762
11901114,Indiana University At Kokomo,Indiana,,77,Public,School Tuition & Fees,"$229,917.34",221
11901111,Dalton State College,Georgia,,94,Public,School Tuition & Fees,"$234,422.99",211
11901108,University Of Delaware,Delaware,,194,Public,School Tuition & Fees,"$1,644,591.89",380
11901102,University Of Alaska-Fairbanks,Alaska,,739,Public,School Tuition & Fees,"$3,544,813.26","2,214"
11901101,Alabama A&M University,Alabama,,109,Public,School Tuition & Fees,"$714,424.37",206
11901041,South Dakota State University,South Dakota,,225,Public,School Tuition & Fees,"$1,276,187.15",441
11901034,Minot State University,North Dakota,,244,Public,School Tuition & Fees,"$1,138,022.92",488
11901012,University Of Idaho,Idaho,,244,Public,School Tuition & Fees,"$1,354,828.74",456
11900447,Bellevue College,Washington,,327,Public,School Tuition & Fees,"$814,773.97",849
11900238,Temple University,Pennsylvania,,616,Public,School Tuition & Fees,"$9,195,164.77","1,384"
11900150,University Of Wyoming,Wyoming,,228,Public,School Tuition & Fees,"$796,113.01",442
11900148,West Virginia State University,West Virginia,,51,Public,School Tuition & Fees,"$183,752.52",87
11900146,Old Dominion University,Virginia,,"2,507",Public,School Tuition & Fees,"$13,826,908.44","5,062"
11900145,Vermont Technical College Randolph Center,Vermont,,72,Public,School Tuition & Fees,"$766,049.00",123
11900144,Utah Valley University,Utah,,436,Public,School Tuition & Fees,"$1,494,304.68",972
11900134,Dickinson State University,North Dakota,,21,Public,School Tuition & Fees,"$96,622.85",66
11900132,Suny Health Science Center At Brooklyn,New York,,3,Public,School Tuition & Fees,"$70,655.23",5
11900130,New Jersey Institute Of Technology,New Jersey,,92,Public,School Tuition & Fees,"$1,052,074.31",166
11900126,Montana State University-Bozeman,Montana,,499,Public,School Tuition & Fees,"$3,237,716.33","1,097"
11900123,Metropolitan State University,Minnesota,,330,Public,School Tuition & Fees,"$1,575,274.42",965
11900120,University Of Baltimore,Maryland,,200,Public,School Tuition & Fees,"$1,452,570.32",351
11900117,University Of Kentucky,Kentucky,,541,Public,School Tuition & Fees,"$4,276,598.65",994
11900116,Kansas State University,Kansas,,"1,108",Public,School Tuition & Fees,"$9,223,671.70","2,834"
11900114,Indiana University School Of Dentistry,Indiana,,2,Public,School Tuition & Fees,"$48,981.40",3
11900112,Lewis Clark State College,Idaho,,108,Public,School Tuition & Fees,"$545,990.60",200
11900022,Northwestern Michigan College,Michigan,,190,Public,School Tuition & Fees,"$1,550,344.24",425
11900007,Alternate Route To Certification Program,Connecticut,,1,Public,School Tuition & Fees,"$4,770.00",2
11893805,Southern Illinois Univ  Walnut,California,,5,Public,School Tuition & Fees,"$17,402.81",30
11891110,"State College Of Florida, Manatee-Sarasota, Venice",Florida,,115,Public,School Tuition & Fees,"$203,703.01",311
11891010,"State College Of Florida, Manatee-Sarasota, Bradenton",Florida,,265,Public,School Tuition & Fees,"$494,448.99",785
11890142,Southern Illinois Univ Carbondale Millington,Tennessee,,6,Public,School Tuition & Fees,"$30,741.09",29
11881110,Florida A&M University College Of Law,Florida,,16,Public,School Tuition & Fees,"$118,274.49",26
